"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"1","01003","Baldwin County, Alabama",83501,2931,77443,2976,62729,3103,4403,1110,73040,3060,14714,2142,6058,1474
"2","01015","Calhoun County, Alabama",44264,1834,38768,1871,30768,1971,3054,879,35714,2156,8000,1295,5496,969
"3","01043","Cullman County, Alabama",30323,1437,26269,1408,19117,1648,654,324,25615,1423,7152,1392,4054,753
"4","01049","DeKalb County, Alabama",26462,1458,22675,1395,15879,1478,1440,692,21235,1510,6796,1222,3787,904
"5","01051","Elmore County, Alabama",30155,1094,26120,1194,21528,1274,599,356,25521,1263,4592,1262,4035,874
"6","01055","Etowah County, Alabama",38625,1544,34041,1772,23824,1641,1682,569,32359,1869,10217,1604,4584,888
"7","01069","Houston County, Alabama",38861,1098,31815,1167,24932,1068,3843,589,27972,1123,6883,798,7046,800
"8","01073","Jefferson County, Alabama",255940,3851,228104,4302,182830,4522,7648,1218,220456,4381,45274,3698,27836,2209
"9","01077","Lauderdale County, Alabama",38670,1735,33173,2072,26145,2001,2465,823,30708,2025,7028,1275,5497,1147
"10","01081","Lee County, Alabama",59336,1847,54953,2202,46742,2701,1720,697,53233,2264,8211,1801,4383,1349
"11","01083","Limestone County, Alabama",32333,1294,29448,1423,24010,1615,997,399,28451,1504,5438,1099,2885,730
"12","01089","Madison County, Alabama",152723,1873,142330,2671,123026,3935,5721,1052,136609,2921,19304,2809,10393,1677
"13","01095","Marshall County, Alabama",36022,1112,31983,1408,23158,1900,1282,430,30701,1397,8825,1422,4039,947
"14","01097","Mobile County, Alabama",158627,3164,139806,3179,98921,3209,5796,1130,134010,3247,40885,3084,18821,1979
"15","01101","Montgomery County, Alabama",87553,2304,77480,2684,57320,2757,2629,688,74851,2494,20160,1964,10073,1512
"16","01103","Morgan County, Alabama",45851,1482,39562,1910,33452,2013,2728,954,36834,1858,6110,1115,6289,1457
"17","01115","St. Clair County, Alabama",30765,1596,27064,1950,22292,1965,2325,1050,24739,2132,4772,1256,3701,1149
"18","01117","Shelby County, Alabama",80944,1588,77041,1777,65403,2147,1715,578,75326,1803,11638,1569,3903,1037
"19","01121","Talladega County, Alabama",31219,1460,26614,1675,20191,1735,1601,548,25013,1660,6423,1302,4605,1156
"20","01125","Tuscaloosa County, Alabama",74053,2334,66782,2497,51504,2580,2904,1020,63878,2566,15278,2200,7271,1232
"21","01127","Walker County, Alabama",24870,1142,20611,1177,14556,1446,1057,410,19554,1232,6055,1087,4259,935
"22","02020","Anchorage Municipality, Alaska",105285,2132,102774,2178,88842,3010,2062,579,100712,2176,13932,2155,2511,773
"23","02090","Fairbanks North Star Borough, Alaska",36378,1770,35386,1718,30985,2041,1717,743,33669,1781,4401,1474,992,550
"24","02170","Matanuska-Susitna Borough, Alaska",32198,833,30574,945,26787,1061,1551,394,29023,929,3787,622,1624,393
"25","04001","Apache County, Arizona",21936,1023,11613,911,8410,982,962,379,10651,866,3203,799,10323,906
"26","04003","Cochise County, Arizona",49751,1727,44638,1930,39402,2044,2766,733,41872,1907,5236,1133,5113,1191
"27","04005","Coconino County, Arizona",47275,2211,44044,2198,37624,2245,2278,776,41766,2251,6420,1284,3231,896
"28","04013","Maricopa County, Arizona",1582464,7714,1500214,8034,1307207,8650,57746,3141,1442468,8275,193007,7063,82250,3977
"29","04015","Mohave County, Arizona",90270,2972,80602,3259,67373,3596,7901,1532,72701,3527,13229,1935,9668,2071
"30","04017","Navajo County, Arizona",34285,1984,27048,1800,20566,1640,1474,442,25574,1823,6482,1045,7237,935
"31","04019","Pima County, Arizona",402323,4369,376840,4770,316529,5464,16702,1909,360138,4651,60311,4044,25483,2482
"32","04021","Pinal County, Arizona",147936,3458,138369,3397,121272,3395,6354,1429,132015,3562,17097,2063,9567,1604
"33","04025","Yavapai County, Arizona",100836,2498,92633,2994,77780,3212,6783,1063,85850,3105,14853,2478,8203,1627
"34","04027","Yuma County, Arizona",74532,2212,66552,2529,53466,2475,3024,816,63528,2464,13086,1884,7980,1388
"35","05007","Benton County, Arkansas",100128,1660,94182,2024,81112,2338,3187,787,90995,2163,13070,1891,5946,1252
"36","05031","Craighead County, Arkansas",42631,1302,39087,1695,30722,1949,2333,1194,36754,1857,8365,1449,3544,917
"37","05045","Faulkner County, Arkansas",43701,1747,39629,1925,34115,1946,1701,554,37928,1863,5514,1142,4072,1099
"38","05051","Garland County, Arkansas",40407,1643,37110,1509,27877,1806,1737,555,35373,1627,9233,1660,3297,898
"39","05069","Jefferson County, Arkansas",25689,1314,22166,1708,13304,1471,663,333,21503,1672,8862,1432,3523,819
"40","05085","Lonoke County, Arkansas",28132,566,25624,862,19720,1402,796,321,24828,952,5904,1182,2508,720
"41","05119","Pulaski County, Arkansas",157678,2932,143655,3506,112748,4174,4907,1152,138748,3594,30907,2887,14023,1720
"42","05125","Saline County, Arkansas",43496,1418,40809,1562,32942,1722,1374,512,39435,1555,7867,1357,2687,816
"43","05131","Sebastian County, Arkansas",51739,1476,47160,1826,33589,1921,1477,491,45683,1881,13571,1717,4579,1093
"44","05143","Washington County, Arkansas",90001,1627,84136,1991,70653,2420,2985,747,81151,2162,13483,2060,5865,1326
"45","05145","White County, Arkansas",29577,1291,25602,1347,19561,1522,2050,785,23552,1464,6041,1277,3975,1000
"46","06001","Alameda County, California",575410,4162,549040,4882,504098,5376,16100,1700,532940,4393,44942,3153,26370,2676
"47","06007","Butte County, California",88636,1728,83087,2174,71638,2581,5251,1057,77836,2131,11449,1937,5549,1242
"48","06013","Contra Costa County, California",396133,3132,380012,3615,342255,4066,11527,1706,368485,3501,37757,2950,16121,2294
"49","06017","El Dorado County, California",72774,1878,69132,2010,63043,2065,3829,841,65303,2098,6089,1473,3642,1039
"50","06019","Fresno County, California",309519,2529,279866,3700,216263,4049,9222,1269,270644,4055,63603,3463,29653,2673
"51","06023","Humboldt County, California",55773,1388,52300,1489,42756,2194,3454,844,48846,1824,9544,1798,3473,847
"52","06025","Imperial County, California",41764,2195,38640,2374,28583,2270,1357,613,37283,2366,10057,1718,3124,860
"53","06029","Kern County, California",273167,3833,251273,4467,194748,5399,8279,1223,242994,4809,56525,4536,21894,2614
"54","06031","Kings County, California",43727,1039,40173,1364,31968,1880,1160,509,39013,1322,8205,1418,3554,951
"55","06033","Lake County, California",26774,1463,24036,1575,19321,1697,1718,649,22318,1561,4715,1210,2738,894
"56","06037","Los Angeles County, California",3313908,10529,3094720,11438,2659755,14031,99419,4764,2995301,11977,434965,9586,219188,6358
"57","06039","Madera County, California",44484,1786,40738,1880,31689,2046,2165,752,38573,1907,9049,1454,3746,940
"58","06041","Marin County, California",104954,1838,101622,2106,96467,2353,4662,1124,96960,2134,5155,1103,3332,1135
"59","06045","Mendocino County, California",33794,1416,30311,1714,25288,1864,2502,761,27809,1518,5023,1020,3483,1017
"60","06047","Merced County, California",79487,1497,73109,1926,54396,2801,2531,731,70578,2048,18713,2388,6378,1231
"61","06053","Monterey County, California",126299,2071,118675,2523,92757,2794,4293,972,114382,2749,25918,2592,7624,1496
"62","06055","Napa County, California",47315,1405,44730,1525,40103,1747,2256,758,42474,1754,4627,988,2585,767
"63","06057","Nevada County, California",41447,1915,38969,2115,35502,2187,2623,650,36346,2039,3467,1219,2478,822
"64","06059","Orange County, California",1040394,5391,1000857,5496,909008,7233,28913,2193,971944,5947,91849,5688,39537,3465
"65","06061","Placer County, California",144691,2698,138946,2881,130081,3005,5815,1049,133131,2892,8865,1439,5745,1074
"66","06065","Riverside County, California",728103,4596,687688,5503,587572,6617,27005,2238,660683,5913,100116,4397,40415,3272
"67","06067","Sacramento County, California",543560,3122,518300,3773,458995,5196,17987,1974,500313,4116,59305,4065,25260,2238
"68","06071","San Bernardino County, California",638647,5380,604937,5723,497069,6545,19851,2120,585086,5912,107868,5449,33710,3179
"69","06073","San Diego County, California",1130911,6394,1086855,7773,973980,9277,32473,2651,1054382,7175,112875,5297,44056,3704
"70","06075","San Francisco County, California",362827,5010,340536,5653,311468,5774,9572,2160,330964,5838,29068,2555,22291,2539
"71","06077","San Joaquin County, California",231917,1766,217678,2170,171939,3801,6445,1092,211233,2385,45739,3342,14239,1432
"72","06079","San Luis Obispo County, California",106198,2386,99874,2805,88815,3195,4543,910,95331,2857,11059,2230,6324,1368
"73","06081","San Mateo County, California",259654,3087,250464,3173,232961,3581,7274,1318,243190,3491,17503,2286,9190,1758
"74","06083","Santa Barbara County, California",146224,2369,138374,2599,121189,2900,5732,1089,132642,2750,17185,1886,7850,1498
"75","06085","Santa Clara County, California",645108,4162,623546,4365,579756,5413,16692,1705,606854,4618,43790,3765,21562,2596
"76","06087","Santa Cruz County, California",94994,2034,89378,2298,81041,2678,4059,1023,85319,2383,8337,1876,5616,1214
"77","06089","Shasta County, California",68198,1621,63143,1792,51914,2079,3822,800,59321,1728,11229,1768,5055,979
"78","06095","Solano County, California",152291,1537,145529,1910,127734,2720,5073,1078,140456,2080,17795,2253,6762,1221
"79","06097","Sonoma County, California",187434,2355,179720,2792,160906,3293,10106,1445,169614,2904,18814,2089,7714,1413
"80","06099","Stanislaus County, California",175171,1600,162869,2168,129143,3314,6099,1170,156770,2264,33726,3036,12302,1710
"81","06101","Sutter County, California",31989,879,29191,1146,24057,1386,1019,343,28172,1137,5134,1023,2798,856
"82","06107","Tulare County, California",139197,1618,122672,2183,84751,3242,4040,1131,118632,2442,37921,3264,16525,1638
"83","06111","Ventura County, California",271980,2680,254813,3565,226920,4144,10441,1278,244372,3537,27893,2943,17167,2215
"84","06113","Yolo County, California",74428,1333,70734,1488,62928,2081,3129,898,67605,1650,7806,1678,3694,1050
"85","06115","Yuba County, California",26191,1076,22746,1320,18045,1492,1157,508,21589,1317,4701,1025,3445,932
"86","08001","Adams County, Colorado",168361,1559,158905,2120,133894,3070,6979,1184,151926,2424,25011,2620,9456,1545
"87","08005","Arapahoe County, Colorado",242141,2134,232126,2587,206476,3246,8609,1297,223517,2736,25650,2602,10015,1625
"88","08013","Boulder County, Colorado",128295,1837,123421,2123,115072,2489,5359,917,118062,2397,8349,1578,4874,1032
"89","08014","Broomfield County, Colorado",28530,450,27966,579,26071,931,331,221,27635,593,1895,801,564,291
"90","08031","Denver County, Colorado",310324,3035,294918,3578,262698,4120,9412,1420,285506,3874,32220,3205,15406,1991
"91","08035","Douglas County, Colorado",125035,1382,122857,1636,118472,1623,2568,828,120289,1704,4385,945,2178,732
"92","08041","El Paso County, Colorado",260851,2707,247781,3036,223251,3920,9006,1390,238775,3557,24530,2823,13070,1748
"93","08059","Jefferson County, Colorado",233272,1980,219964,2614,200737,3127,9050,1386,210914,3019,19227,2303,13308,1887
"94","08069","Larimer County, Colorado",139382,2415,133801,2729,123300,2630,4207,1113,129594,2950,10501,1825,5581,1305
"95","08077","Mesa County, Colorado",61848,1549,56995,1690,48177,2004,3380,806,53615,1716,8818,1840,4853,1057
"96","08101","Pueblo County, Colorado",64954,1271,57916,1777,45062,2089,3797,632,54119,1750,12854,1751,7038,1089
"97","08123","Weld County, Colorado",107929,1530,102751,1819,89105,2224,3713,877,99038,1841,13646,2041,5178,1179
"98","09001","Fairfield County, Connecticut",345634,3285,325221,3418,288112,4481,12419,1604,312802,3701,37109,3198,20413,2001
"99","09003","Hartford County, Connecticut",348049,3171,320183,3420,271553,4667,14596,1840,305587,3634,48630,3735,27866,2593
"100","09005","Litchfield County, Connecticut",73598,1684,67520,1990,59851,2064,5055,1024,62465,2227,7669,1295,6078,1189
"101","09007","Middlesex County, Connecticut",66983,1949,62516,1970,55933,2163,3337,851,59179,1980,6583,1141,4467,1012
"102","09009","New Haven County, Connecticut",335539,3432,303843,4222,255655,5177,15330,1805,288513,4008,48188,4578,31696,3305
"103","09011","New London County, Connecticut",108098,1938,100040,2399,87133,2769,6654,1193,93386,2514,12907,1676,8058,1547
"104","09013","Tolland County, Connecticut",55619,1737,52027,1779,47593,2129,2906,631,49121,1816,4434,1279,3592,832
"105","09015","Windham County, Connecticut",44571,1494,40500,1888,34171,1879,1932,620,38568,1877,6329,1424,4071,1002
"106","10001","Kent County, Delaware",67841,1367,60595,1868,49129,2281,3022,824,57573,1906,11466,1785,7246,1256
"107","10003","New Castle County, Delaware",206351,2324,196008,2807,154555,4074,8261,1208,187747,3098,41453,3722,10343,1444
"108","10005","Sussex County, Delaware",93479,3097,84814,3378,71736,3316,5935,1232,78879,3293,13078,1917,8665,1566
"109","11001","District of Columbia, District of Columbia",287476,2752,266613,3420,230574,4069,6223,1303,260390,3401,36039,3155,20863,2403
"110","12001","Alachua County, Florida",97782,2912,93407,2896,84307,2960,2718,690,90689,2931,9100,1530,4375,1189
"111","12005","Bay County, Florida",73856,2382,68037,2511,59104,2717,3584,888,64453,2547,8933,1796,5819,1311
"112","12009","Brevard County, Florida",226363,4269,209537,4646,191261,4728,13728,1889,195809,4961,18276,2114,16826,2650
"113","12011","Broward County, Florida",694980,6477,655599,6862,568484,8084,22383,2579,633216,6875,87115,4404,39381,3214
"114","12015","Charlotte County, Florida",74975,3063,67947,3061,59858,2834,4480,1041,63467,2910,8089,1511,7028,1251
"115","12017","Citrus County, Florida",62293,2908,57105,3166,48393,3075,7108,1496,49997,3205,8712,2015,5188,1260
"116","12019","Clay County, Florida",75958,2151,73268,2310,64658,2822,3448,1152,69820,2381,8610,2082,2690,961
"117","12021","Collier County, Florida",144172,4574,134294,4843,116323,4580,7996,1503,126298,4934,17971,2568,9878,1902
"118","12023","Columbia County, Florida",25678,967,24000,979,18876,1491,1435,598,22565,1082,5124,1163,1678,607
"119","12031","Duval County, Florida",367238,4633,342926,5253,282083,5431,14725,2044,328201,5670,60843,4929,24312,2664
"120","12033","Escambia County, Florida",118820,3150,109334,3508,95368,3222,5983,1204,103351,3693,13966,2148,9486,1704
"121","12035","Flagler County, Florida",41274,1947,36375,2220,31301,1943,3168,911,33207,2257,5074,1188,4899,1429
"122","12053","Hernando County, Florida",76163,2250,71041,2517,64337,2704,6479,1167,64562,2738,6704,1397,5122,1069
"123","12055","Highlands County, Florida",40573,2282,34959,2197,28685,2229,2830,784,32129,2131,6274,1291,5614,1348
"124","12057","Hillsborough County, Florida",540142,4045,514288,5159,436693,6084,16229,1951,498059,5337,77595,4408,25854,3050
"125","12061","Indian River County, Florida",57636,2600,51246,2684,46644,2579,4057,1063,47189,2794,4602,1322,6390,1348
"126","12069","Lake County, Florida",136366,3542,127494,3874,109000,3947,7544,1240,119950,4120,18494,2762,8872,1731
"127","12071","Lee County, Florida",281222,6698,264914,7343,226378,6295,12747,1962,252167,7150,38536,3541,16308,2628
"128","12073","Leon County, Florida",113390,2646,106790,2618,94209,3087,3796,959,102994,2831,12581,1903,6600,1147
"129","12081","Manatee County, Florida",150814,3654,142268,3501,124945,4111,8387,1362,133881,3538,17323,2276,8546,1735
"130","12083","Marion County, Florida",143441,4064,127543,4417,108861,4796,11464,1642,116079,4346,18682,2702,15898,2551
"131","12085","Martin County, Florida",63070,2157,59088,2354,50430,2222,3590,922,55498,2450,8658,1485,3982,1130
"132","12086","Miami-Dade County, Florida",895801,6705,837519,7091,689232,8065,21322,2043,816197,6952,148287,6439,58282,4156
"133","12087","Monroe County, Florida",31362,1892,30369,1844,26697,1971,1740,698,28629,1760,3672,810,993,439
"134","12089","Nassau County, Florida",32624,1353,31315,1489,27190,1832,1724,780,29591,1548,4125,1315,1309,541
"135","12091","Okaloosa County, Florida",79570,2256,75461,2423,65572,2732,3321,1017,72140,2734,9889,1701,4109,1116
"136","12095","Orange County, Florida",458157,4549,436659,5346,379406,6846,10121,1493,426538,5416,57253,4433,21498,2811
