"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"54","06033","Lake County, California",27472,1368,25312,1455,20968,1781,1420,676,23892,1519,4344,1092,2160,893
"55","06037","Los Angeles County, California",3375587,11206,3249740,11999,2814604,13635,69440,4478,3180300,11950,435136,9520,125847,5190
"56","06039","Madera County, California",44048,1677,41779,1743,32134,2189,1163,636,40616,1892,9645,1696,2269,713
"57","06041","Marin County, California",103378,1853,100909,2016,93863,2412,3345,913,97564,2166,7046,1384,2469,994
"58","06045","Mendocino County, California",34273,1503,31355,1431,25569,1820,1065,420,30290,1384,5786,1285,2918,709
"59","06047","Merced County, California",84967,1569,77989,2206,61703,2913,1107,455,76882,2184,16286,2186,6978,1511
"60","06053","Monterey County, California",133224,1836,129858,2191,104877,2655,2804,908,127054,2388,24981,2699,3366,911
"61","06055","Napa County, California",49979,1257,48619,1313,43576,1403,1549,538,47070,1414,5043,1081,1360,548
"62","06057","Nevada County, California",42679,1994,41296,2100,37689,2187,1261,552,40035,2124,3607,1172,1383,673
"63","06059","Orange County, California",1077193,4687,1052249,5741,962349,7182,21671,2675,1030578,5931,89900,4888,24944,2699
"64","06061","Placer County, California",155945,1856,151941,2215,140532,2425,4467,863,147474,2255,11409,1454,4004,1118
"65","06065","Riverside County, California",765673,5559,738867,6333,646330,6675,20542,2271,718325,7088,92537,4887,26806,2932
"66","06067","Sacramento County, California",571949,3316,556774,3627,494678,5123,14558,2048,542216,4005,62096,4175,15175,2116
"67","06069","San Benito County, California",20307,353,19740,477,16222,875,251,218,19489,527,3518,882,567,282
"68","06071","San Bernardino County, California",675929,4311,654737,4943,561453,6963,15111,2083,639626,5427,93284,4685,21192,2770
"69","06073","San Diego County, California",1162896,5092,1131914,5341,1029442,6643,25354,2624,1106560,5506,102472,5060,30982,2831
"70","06075","San Francisco County, California",350796,5380,338659,5729,307005,6002,9331,1402,329328,5843,31654,2840,12137,1989
"71","06077","San Joaquin County, California",241760,2076,232319,2429,194579,2997,4881,1030,227438,2707,37740,3069,9441,1388
"72","06079","San Luis Obispo County, California",107571,2567,104102,2737,94125,2939,3387,975,100715,2662,9977,1773,3469,1015
"73","06081","San Mateo County, California",264135,2347,258069,2719,237387,3137,6043,1309,252026,2919,20682,2231,6066,1310
"74","06083","Santa Barbara County, California",150550,2185,144406,2598,128246,2877,4519,956,139887,2547,16160,1946,6144,1385
"75","06085","Santa Clara County, California",650593,3591,637246,4074,595456,5292,12274,1641,624972,4461,41790,3870,13347,2125
"76","06087","Santa Cruz County, California",97353,2136,94627,2405,84729,2827,3846,936,90781,2602,9898,1559,2726,1079
"77","06089","Shasta County, California",71506,1733,68489,1828,57728,1988,3888,973,64601,1883,10761,1726,3017,729
"78","06095","Solano County, California",157617,1748,152606,2170,134384,2939,4723,1195,147883,2409,18222,2237,5011,1270
"79","06097","Sonoma County, California",190586,2185,186421,2362,168778,3169,7288,1371,179133,2709,17643,2252,4165,804
"80","06099","Stanislaus County, California",174209,2086,166678,2554,133711,3838,3149,753,163529,2493,32967,3370,7531,1425
"81","06101","Sutter County, California",33655,658,32653,801,25834,1328,1659,718,30994,1040,6819,1203,1002,443
"82","06103","Tehama County, California",23950,1104,21743,1123,17396,1369,824,350,20919,1075,4347,1019,2207,783
"83","06107","Tulare County, California",143541,1614,134418,2195,106500,3074,3304,1071,131114,2340,27918,2553,9123,1557
