"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"1","12071","Lee County, Florida",266266,6274,249205,6169,222885,5936,17044,2152,232161,6289,26320,2622,17061,2496
"2","12073","Leon County, Florida",115193,2769,110378,3026,99428,3480,5664,1222,104714,3133,10950,1854,4815,1034
"3","12081","Manatee County, Florida",144329,3150,133794,3242,117423,3718,10302,1316,123492,3232,16371,1995,10535,1877
"4","12083","Marion County, Florida",140620,3633,123382,3992,107516,4212,10254,1801,113128,3980,15866,2256,17238,2159
"5","12085","Martin County, Florida",62496,2324,58098,2481,50537,2605,3564,852,54534,2616,7561,1317,4398,1158
"6","12086","Miami-Dade County, Florida",872495,7390,793492,7406,659884,8200,26891,2257,766601,7701,133608,5243,79003,4276
"7","12087","Monroe County, Florida",31285,1883,29149,1902,25598,1617,1764,598,27385,1913,3551,1050,2136,777
"8","12089","Nassau County, Florida",31837,1587,30326,1485,27957,1509,2122,814,28204,1486,2369,670,1511,587
"9","12091","Okaloosa County, Florida",79011,2074,73123,2224,62360,2521,3456,805,69667,2189,10763,1994,5888,971
"10","12095","Orange County, Florida",460602,5613,437869,6102,384076,7776,12173,2044,425696,6106,53793,4263,22733,2901
"11","12097","Osceola County, Florida",102385,4041,95329,3784,83557,3966,4178,1044,91151,3757,11772,2115,7056,1679
"12","12099","Palm Beach County, Florida",547824,6969,504971,6733,433584,6424,24834,2172,480137,6609,71387,4357,42853,3202
"13","12101","Pasco County, Florida",207993,3164,190747,3523,172454,3445,14016,1665,176731,3852,18293,1889,17246,2054
"14","12103","Pinellas County, Florida",405807,5631,368306,6036,325207,6316,27558,2542,340748,5980,43099,3516,37501,2990
"15","12105","Polk County, Florida",233058,4313,206797,4325,165452,5242,14829,1735,191968,4131,41345,3765,26261,2386
"16","12107","Putnam County, Florida",29444,1564,24550,1581,19756,1631,3090,823,21460,1526,4794,1016,4894,1037
"17","12109","St. Johns County, Florida",87096,2888,81615,3044,74267,3239,5044,1428,76571,2778,7348,2052,5481,1490
"18","12111","St. Lucie County, Florida",114043,3131,105089,3950,93400,4403,7093,1867,97996,4104,11689,2042,8954,2013
"19","12113","Santa Rosa County, Florida",62216,2354,59320,2454,52319,2828,3422,956,55898,2507,7001,1666,2896,977
"20","12115","Sarasota County, Florida",184614,4152,168164,4956,149941,5066,18958,2520,149206,5090,18223,2631,16450,2372
"21","12117","Seminole County, Florida",176017,2709,168196,2781,156629,3024,4424,903,163772,2609,11567,1745,7821,1198
"22","12119","Sumter County, Florida",55097,2776,51158,2894,45857,2408,5109,1364,46049,3012,5301,1412,3939,1579
"23","12127","Volusia County, Florida",217632,3372,199052,3565,166551,4754,15857,1965,183195,3728,32501,3432,18580,2070
"24","12131","Walton County, Florida",29463,2421,27137,2371,23343,2181,1366,522,25771,2340,3794,949,2326,792
"25","13013","Barrow County, Georgia",26893,625,23932,863,21057,1135,1269,422,22663,813,2875,654,2961,713
"26","13015","Bartow County, Georgia",38765,1030,35841,1499,28824,2164,1909,706,33932,1739,7017,1743,2924,1047
"27","13021","Bibb County, Georgia",56272,1770,50108,1940,39477,2155,3172,871,46936,2182,10631,1841,6164,932
"28","13031","Bulloch County, Georgia",27802,1615,25711,1771,21099,1956,1504,675,24207,1740,4612,1054,2091,887
"29","13045","Carroll County, Georgia",42897,1114,38685,1564,32613,2099,1176,544,37509,1617,6072,1598,4212,1076
"30","13047","Catoosa County, Georgia",25153,967,22815,1208,17668,1604,1683,677,21132,1316,5147,1315,2338,618
"31","13051","Chatham County, Georgia",107754,2203,99953,2481,82255,2443,3215,827,96738,2698,17698,2097,7801,1180
"32","13057","Cherokee County, Georgia",89510,1418,86555,1631,78961,2462,2412,943,84143,1821,7594,1848,2955,798
"33","13059","Clarke County, Georgia",48257,1617,46002,1692,40299,2043,1958,611,44044,1906,5703,1307,2255,684
"34","13063","Clayton County, Georgia",94199,2084,87597,2515,69109,2666,3936,1116,83661,2588,18488,2043,6602,1285
"35","13067","Cobb County, Georgia",277609,3623,268883,3910,243340,4478,7250,1274,261633,4025,25543,3245,8726,1494
"36","13073","Columbia County, Georgia",43990,2227,40898,2272,36332,2335,2950,859,37948,2423,4566,1378,3092,1141
"37","13077","Coweta County, Georgia",52796,998,49760,1157,42530,1782,2050,677,47710,1367,7230,1511,3036,974
"38","13089","DeKalb County, Georgia",278249,3395,261390,4155,219943,4639,6908,1209,254482,4283,41447,3721,16859,2372
"39","13095","Dougherty County, Georgia",34179,1340,29845,1490,22304,1707,2024,610,27821,1514,7541,1423,4334,850
"40","13097","Douglas County, Georgia",49962,1073,47396,1338,41844,1986,1075,464,46321,1434,5552,1661,2566,848
"41","13113","Fayette County, Georgia",40484,851,38586,1117,36461,1376,1519,674,37067,1328,2125,903,1898,780
"42","13115","Floyd County, Georgia",36927,1233,32675,1316,26430,1679,2287,599,30388,1298,6245,1208,4252,999
"43","13117","Forsyth County, Georgia",78299,925,76153,1132,72912,1386,2012,682,74141,1179,3241,933,2146,719
"44","13121","Fulton County, Georgia",410408,5779,382775,6255,337756,6454,10755,1924,372020,6594,45019,4185,27633,2705
"45","13127","Glynn County, Georgia",34380,1833,29595,1906,24592,1922,1399,568,28196,1853,5003,1162,4785,1103
"46","13135","Gwinnett County, Georgia",292679,3132,281633,3294,251099,3759,8689,1635,272944,3402,30534,3440,11046,1962
"47","13139","Hall County, Georgia",62164,1853,57031,2094,47757,2138,2508,628,54523,2149,9274,1308,5133,1164
"48","13151","Henry County, Georgia",77170,1577,73116,2036,65803,2587,2628,938,70488,2319,7313,1577,4054,1067
"49","13153","Houston County, Georgia",56860,2116,53092,2231,43347,2630,2384,801,50708,2313,9745,1993,3768,926
"50","13157","Jackson County, Georgia",23785,852,21332,1022,18550,1290,1062,449,20270,1032,2782,981,2453,775
