"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"1","01003","Baldwin County, Alabama",82325,3231,77281,3480,63551,3367,2759,1223,74522,3517,13730,2165,5044,1395
"2","01015","Calhoun County, Alabama",44636,2010,38833,2317,28390,2165,924,422,37909,2356,10443,1753,5803,1370
"3","01043","Cullman County, Alabama",32090,1233,27889,1303,20740,1451,1216,542,26673,1266,7149,1208,4201,886
"4","01049","DeKalb County, Alabama",24880,1347,21513,1469,14732,1536,686,342,20827,1465,6781,1341,3367,935
"5","01051","Elmore County, Alabama",30712,1330,27867,1566,20436,1787,547,306,27320,1632,7431,1522,2845,931
"6","01055","Etowah County, Alabama",40053,1930,35124,2134,23643,2060,1734,598,33390,2184,11481,1573,4929,1180
"7","01069","Houston County, Alabama",39761,1040,36174,1138,26308,1026,1528,425,34646,1158,9866,803,3587,523
"8","01073","Jefferson County, Alabama",264753,3376,240128,4326,188943,4790,9139,1593,230989,4109,51185,3653,24625,2348
"9","01077","Lauderdale County, Alabama",38761,1573,34254,1972,24331,1976,1310,594,32944,2062,9923,1439,4507,1061
"10","01081","Lee County, Alabama",64448,1810,59968,1982,51957,2501,2005,925,57963,2061,8011,1618,4480,1287
"11","01083","Limestone County, Alabama",32020,1530,29903,1493,24896,1594,866,422,29037,1499,5007,1060,2117,561
"12","01089","Madison County, Alabama",155878,2604,148135,2950,130344,3502,5743,1417,142392,3184,17791,2206,7743,1428
"13","01095","Marshall County, Alabama",35330,1274,31790,1581,23814,1592,1417,498,30373,1576,7976,1423,3540,798
"14","01097","Mobile County, Alabama",155946,2876,141238,3564,104642,3451,6739,1610,134499,3922,36596,2942,14708,2176
"15","01101","Montgomery County, Alabama",88864,2242,80859,2515,60988,3068,2701,921,78158,2712,19871,2792,8005,1477
"16","01103","Morgan County, Alabama",46470,1676,41134,1778,32087,2046,1888,531,39246,1842,9047,1445,5336,1376
"17","01115","St. Clair County, Alabama",32829,1261,31061,1526,25353,1987,1041,541,30020,1622,5708,1385,1768,959
"18","01117","Shelby County, Alabama",84048,1602,80702,1936,69343,2266,2396,600,78306,2047,11359,1845,3346,934
"19","01121","Talladega County, Alabama",30602,1841,25876,1821,18394,1585,815,442,25061,1808,7482,1359,4726,931
"20","01125","Tuscaloosa County, Alabama",74259,2679,67356,2989,53865,3038,1529,525,65827,3035,13491,2062,6903,1482
"21","01127","Walker County, Alabama",25153,1223,22267,1489,15080,1497,489,341,21778,1518,7187,1219,2886,940
"22","02020","Anchorage Municipality, Alaska",105198,2489,102657,2383,86693,2886,2379,651,100278,2442,15964,2278,2541,733
"23","02090","Fairbanks North Star Borough, Alaska",35556,1761,34315,1818,28609,1960,1571,711,32744,1829,5706,1460,1241,571
"24","02170","Matanuska-Susitna Borough, Alaska",32736,739,31384,777,26922,960,1229,353,30155,864,4462,760,1352,349
"25","04001","Apache County, Arizona",20925,946,12150,1020,8390,1036,1239,535,10911,1068,3760,889,8775,880
"26","04003","Cochise County, Arizona",51982,1532,47825,1587,40200,1802,3002,958,44823,1794,7625,1510,4157,1032
"27","04005","Coconino County, Arizona",48993,2018,46383,2065,38992,2281,1714,627,44669,2185,7391,1238,2610,559
"28","04013","Maricopa County, Arizona",1611722,9030,1548916,9190,1327442,10916,50381,2682,1498535,9563,221474,7798,62806,4457
