"","GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"9488","19163012502","Census Tract 125.02, Scott County, Iowa","Other Asian and Pacific Island languages",12,20,3656,394
"9489","19163012502","Census Tract 125.02, Scott County, Iowa","Arabic",0,10,3656,394
"9490","19163012502","Census Tract 125.02, Scott County, Iowa","Other and unspecified languages",0,10,3656,394
"9491","19163012601","Census Tract 126.01, Scott County, Iowa","Speak only English",4525,618,4850,613
"9492","19163012601","Census Tract 126.01, Scott County, Iowa","Spanish",228,194,4850,613
"9493","19163012601","Census Tract 126.01, Scott County, Iowa","French, Haitian, or Cajun",0,15,4850,613
"9494","19163012601","Census Tract 126.01, Scott County, Iowa","German or other West Germanic languages",0,15,4850,613
"9495","19163012601","Census Tract 126.01, Scott County, Iowa","Russian, Polish, or other Slavic languages",97,142,4850,613
"9496","19163012601","Census Tract 126.01, Scott County, Iowa","Other Indo-European languages",0,15,4850,613
"9497","19163012601","Census Tract 126.01, Scott County, Iowa","Korean",0,15,4850,613
"9498","19163012601","Census Tract 126.01, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,15,4850,613
"9499","19163012601","Census Tract 126.01, Scott County, Iowa","Vietnamese",0,15,4850,613
"9500","19163012601","Census Tract 126.01, Scott County, Iowa","Tagalog (incl. Filipino)",0,15,4850,613
"9501","19163012601","Census Tract 126.01, Scott County, Iowa","Other Asian and Pacific Island languages",0,15,4850,613
"9502","19163012601","Census Tract 126.01, Scott County, Iowa","Arabic",0,15,4850,613
"9503","19163012601","Census Tract 126.01, Scott County, Iowa","Other and unspecified languages",0,15,4850,613
"9504","19163012602","Census Tract 126.02, Scott County, Iowa","Speak only English",3524,455,3924,442
"9505","19163012602","Census Tract 126.02, Scott County, Iowa","Spanish",147,156,3924,442
"9506","19163012602","Census Tract 126.02, Scott County, Iowa","French, Haitian, or Cajun",0,10,3924,442
"9507","19163012602","Census Tract 126.02, Scott County, Iowa","German or other West Germanic languages",38,52,3924,442
"9508","19163012602","Census Tract 126.02, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,3924,442
"9509","19163012602","Census Tract 126.02, Scott County, Iowa","Other Indo-European languages",0,10,3924,442
"9510","19163012602","Census Tract 126.02, Scott County, Iowa","Korean",0,10,3924,442
"9511","19163012602","Census Tract 126.02, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,3924,442
"9512","19163012602","Census Tract 126.02, Scott County, Iowa","Vietnamese",133,113,3924,442
"9513","19163012602","Census Tract 126.02, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,3924,442
"9514","19163012602","Census Tract 126.02, Scott County, Iowa","Other Asian and Pacific Island languages",0,10,3924,442
"9515","19163012602","Census Tract 126.02, Scott County, Iowa","Arabic",82,128,3924,442
"9516","19163012602","Census Tract 126.02, Scott County, Iowa","Other and unspecified languages",0,10,3924,442
"9517","19163012701","Census Tract 127.01, Scott County, Iowa","Speak only English",2699,423,2795,390
"9518","19163012701","Census Tract 127.01, Scott County, Iowa","Spanish",68,86,2795,390
"9519","19163012701","Census Tract 127.01, Scott County, Iowa","French, Haitian, or Cajun",0,10,2795,390
"9520","19163012701","Census Tract 127.01, Scott County, Iowa","German or other West Germanic languages",0,10,2795,390
"9521","19163012701","Census Tract 127.01, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,2795,390
"9522","19163012701","Census Tract 127.01, Scott County, Iowa","Other Indo-European languages",0,10,2795,390
"9523","19163012701","Census Tract 127.01, Scott County, Iowa","Korean",0,10,2795,390
"9524","19163012701","Census Tract 127.01, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,2795,390
"9525","19163012701","Census Tract 127.01, Scott County, Iowa","Vietnamese",0,10,2795,390
"9526","19163012701","Census Tract 127.01, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,2795,390
"9527","19163012701","Census Tract 127.01, Scott County, Iowa","Other Asian and Pacific Island languages",28,46,2795,390
"9528","19163012701","Census Tract 127.01, Scott County, Iowa","Arabic",0,10,2795,390
"9529","19163012701","Census Tract 127.01, Scott County, Iowa","Other and unspecified languages",0,10,2795,390
"9530","19163012702","Census Tract 127.02, Scott County, Iowa","Speak only English",2782,347,2940,329
"9531","19163012702","Census Tract 127.02, Scott County, Iowa","Spanish",96,100,2940,329
"9532","19163012702","Census Tract 127.02, Scott County, Iowa","French, Haitian, or Cajun",0,10,2940,329
"9533","19163012702","Census Tract 127.02, Scott County, Iowa","German or other West Germanic languages",4,8,2940,329
"9534","19163012702","Census Tract 127.02, Scott County, Iowa","Russian, Polish, or other Slavic languages",0,10,2940,329
"9535","19163012702","Census Tract 127.02, Scott County, Iowa","Other Indo-European languages",49,76,2940,329
"9536","19163012702","Census Tract 127.02, Scott County, Iowa","Korean",0,10,2940,329
"9537","19163012702","Census Tract 127.02, Scott County, Iowa","Chinese (incl. Mandarin, Cantonese)",0,10,2940,329
"9538","19163012702","Census Tract 127.02, Scott County, Iowa","Vietnamese",1,4,2940,329
"9539","19163012702","Census Tract 127.02, Scott County, Iowa","Tagalog (incl. Filipino)",0,10,2940,329
