"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"1","01003","Baldwin County, Alabama",71307,3086,59307,3327,437,251,48541,3085,10329,2044,12000,1813
"2","01015","Calhoun County, Alabama",46087,1647,37958,1814,464,387,30562,1864,6932,1451,8129,1174
"3","01043","Cullman County, Alabama",30424,1303,23253,1395,407,365,17628,1670,5218,1126,7171,1270
"4","01049","DeKalb County, Alabama",24720,1328,17720,1499,240,176,13890,1531,3590,849,7000,1217
"5","01051","Elmore County, Alabama",28352,1287,23607,1418,112,195,21336,1395,2159,677,4745,912
"6","01055","Etowah County, Alabama",39714,1503,31502,1814,244,201,25421,1725,5837,1193,8212,1260
"7","01069","Houston County, Alabama",38825,833,29512,924,686,215,23766,927,5060,573,9313,784
"8","01073","Jefferson County, Alabama",261980,3474,213636,4543,1033,380,176741,4690,35862,2906,48344,2911
"9","01077","Lauderdale County, Alabama",38093,1293,27529,1522,189,181,21645,1562,5695,992,10564,1149
"10","01081","Lee County, Alabama",57880,2012,49504,2266,46,82,43079,2400,6379,1424,8376,1430
"11","01083","Limestone County, Alabama",31638,1357,25249,1592,154,153,21961,1764,3134,895,6389,1300
"12","01089","Madison County, Alabama",140771,2234,122343,3387,461,252,108987,3635,12895,1800,18428,2304
"13","01095","Marshall County, Alabama",34872,1287,25207,1784,77,73,20366,1636,4764,975,9665,1262
"14","01097","Mobile County, Alabama",153450,2729,118778,2878,628,250,99081,3208,19069,2072,34672,2256
"15","01101","Montgomery County, Alabama",89415,1703,73834,1952,172,149,64716,2509,8946,1617,15581,1489
"16","01103","Morgan County, Alabama",45016,1420,36197,1705,903,540,29392,1650,5902,1162,8819,1361
"17","01115","St. Clair County, Alabama",32267,1254,25612,1520,613,440,21514,1696,3485,1100,6655,1144
"18","01117","Shelby County, Alabama",75714,1580,68252,1936,473,284,61140,1782,6639,1087,7462,1227
"19","01121","Talladega County, Alabama",30649,1481,23181,1785,378,271,18309,1770,4494,1121,7468,1236
"20","01125","Tuscaloosa County, Alabama",68320,2407,55621,2422,300,210,49310,2344,6011,1115,12699,1519
"21","01127","Walker County, Alabama",25211,1095,18465,1170,258,266,13868,1168,4339,927,6746,888
"22","02020","Anchorage Municipality, Alaska",104683,1844,99954,1990,434,265,90243,2207,9277,1424,4729,1188
"23","02090","Fairbanks North Star Borough, Alaska",35692,1359,33060,1570,141,206,29281,1873,3638,1025,2632,907
"24","02170","Matanuska-Susitna Borough, Alaska",30766,689,28403,825,202,122,26344,907,1857,403,2363,427
"25","04001","Apache County, Arizona",18766,832,9286,644,0,200,6923,747,2363,448,9480,804
"26","04003","Cochise County, Arizona",47653,1785,40321,1677,307,180,35856,1852,4158,828,7332,1191
"27","04005","Coconino County, Arizona",46919,1682,39796,1857,215,183,34220,2002,5361,999,7123,983
"28","04013","Maricopa County, Arizona",1458064,8145,1267312,9588,7513,1101,1129205,10678,130594,5299,190752,6605
"29","04015","Mohave County, Arizona",81292,2858,66750,3089,718,323,58894,2937,7138,1254,14542,1761
"30","04017","Navajo County, Arizona",33236,1993,23372,1624,161,131,18690,1408,4521,810,9864,1169
"31","04019","Pima County, Arizona",389737,4510,342197,4643,2860,738,297714,4964,41623,2955,47540,2977
"32","04021","Pinal County, Arizona",132176,3596,109356,4065,811,437,92999,3396,15546,1976,22820,2705
"33","04025","Yavapai County, Arizona",90584,2671,78359,2767,393,302,69381,2675,8585,1849,12225,1552
"34","04027","Yuma County, Arizona",70593,1932,55031,2192,343,189,49548,2375,5140,935,15562,1705
"35","05007","Benton County, Arkansas",86232,1851,75858,2119,276,203,54951,2426,20631,1995,10374,1528
"36","05031","Craighead County, Arkansas",38548,1519,32582,1708,113,211,27797,1714,4672,1009,5966,1297
"37","05045","Faulkner County, Arkansas",42782,1340,36366,1797,308,256,30435,1797,5623,1107,6416,1199
"38","05051","Garland County, Arkansas",39045,1871,31383,2092,400,281,26696,2005,4287,972,7662,1314
"39","05069","Jefferson County, Arkansas",28494,1190,21436,1688,370,285,13289,1378,7777,1398,7058,1236
"40","05085","Lonoke County, Arkansas",26688,630,23303,1057,358,264,18909,1060,4036,1102,3385,857
"41","05119","Pulaski County, Arkansas",152045,3168,125228,3217,1094,596,104414,3857,19720,2810,26817,2416
"42","05125","Saline County, Arkansas",41587,1329,35375,1775,234,196,30786,2077,4355,1195,6212,1104
"43","05131","Sebastian County, Arkansas",48779,1344,36955,1957,193,156,30742,1843,6020,1576,11824,1853
"44","05143","Washington County, Arkansas",81600,2060,69758,2833,973,619,56426,2802,12359,1958,11842,1708
"45","05145","White County, Arkansas",29146,1266,23564,1611,152,184,18965,1542,4447,1046,5582,1150
"46","06001","Alameda County, California",563601,3221,514509,3935,2875,904,469495,5019,42139,3498,49092,2802
"47","06007","Butte County, California",85366,2243,73982,2507,1150,484,66614,2827,6218,1335,11384,1442
"48","06013","Contra Costa County, California",387936,2538,357507,3785,1479,483,332706,4045,23322,2705,30429,2653
"49","06017","El Dorado County, California",65804,2074,59576,2220,911,493,54140,2300,4525,937,6228,1050
"50","06019","Fresno County, California",297993,2670,248489,3673,2696,789,211100,4671,34693,2974,49504,2941
"51","06023","Humboldt County, California",53195,1629,46926,1757,471,351,41209,1671,5246,900,6269,928
"52","06025","Imperial County, California",43635,1807,34814,1996,203,210,29020,1815,5591,1305,8821,1244
"53","06029","Kern County, California",261135,3167,209724,4100,1631,592,181205,4119,26888,2873,51411,3347
"54","06031","Kings County, California",41596,1204,33851,1700,175,150,28486,1775,5190,1142,7745,1437
"55","06033","Lake County, California",27636,1399,21419,1565,501,263,18155,1687,2763,806,6217,1060
"56","06037","Los Angeles County, California",3269112,9173,2839858,10586,18257,1907,2514137,10090,307464,8979,429254,7810
"57","06039","Madera County, California",42895,1483,34995,1717,410,272,29225,1966,5360,1128,7900,1023
"58","06041","Marin County, California",103509,1605,95945,2006,349,221,91809,2201,3787,1078,7564,1405
"59","06045","Mendocino County, California",33464,1373,27309,1604,934,517,22508,1465,3867,905,6155,1088
"60","06047","Merced County, California",79255,1242,66354,2130,614,416,53360,2494,12380,1912,12901,1590
"61","06053","Monterey County, California",123920,2014,100563,2437,849,388,87312,2754,12402,1627,23357,1933
"62","06055","Napa County, California",50516,980,45559,1499,497,240,41465,1521,3597,743,4957,1143
"63","06057","Nevada County, California",40186,1663,35967,1681,449,237,32512,1768,3006,751,4219,1000
"64","06059","Orange County, California",1018862,4601,941601,5590,8250,1346,870301,5905,63050,3609,77261,4294
"65","06061","Placer County, California",136239,1940,124033,2580,1618,669,114788,2653,7627,1375,12206,1643
"66","06065","Riverside County, California",700584,5496,619562,5961,5040,1071,555072,6141,59450,3233,81022,4152
"67","06067","Sacramento County, California",523353,4122,472274,4318,3124,722,414601,4516,54549,4007,51079,3209
"68","06071","San Bernardino County, California",617066,3823,532923,4914,3427,710,459849,5895,69647,4087,84143,3997
"69","06073","San Diego County, California",1100858,5824,1006321,7378,3854,912,940436,8432,62031,3854,94537,4198
"70","06075","San Francisco County, California",353406,4278,315303,4590,1275,624,289190,4897,24838,2752,38103,2942
"71","06077","San Joaquin County, California",221874,2448,185555,3477,3985,1040,161214,4063,20356,2337,36319,2744
"72","06079","San Luis Obispo County, California",102645,2529,91967,2824,1179,525,84997,3054,5791,1259,10678,1829
"73","06081","San Mateo County, California",257473,3008,237473,3417,1245,439,220186,4068,16042,2317,20000,2032
"74","06083","Santa Barbara County, California",142912,2222,123930,2771,1043,498,111510,3021,11377,1668,18982,1929
"75","06085","Santa Clara County, California",622068,3481,580174,4238,2850,624,546302,5099,31022,2637,41894,3018
"76","06087","Santa Cruz County, California",96127,1984,86811,2422,460,283,80386,2756,5965,1426,9316,1486
"77","06089","Shasta County, California",68542,1701,57504,1795,759,383,49911,1908,6834,1271,11038,1285
"78","06095","Solano County, California",145313,2017,130204,2507,557,324,120073,2679,9574,1293,15109,1734
"79","06097","Sonoma County, California",190875,2224,174111,2751,2123,689,155185,3833,16803,2535,16764,1908
"80","06099","Stanislaus County, California",169038,2079,145452,3168,1240,494,129452,3452,14760,1748,23586,2413
"81","06101","Sutter County, California",31634,919,28094,1118,205,193,24977,1273,2912,909,3540,685
"82","06107","Tulare County, California",132742,1975,97883,3071,1902,713,80882,3087,15099,1818,34859,2733
"83","06111","Ventura County, California",269869,2443,242845,3296,1234,431,223254,3226,18357,1980,27024,2269
"84","06113","Yolo County, California",72228,1198,65710,1715,613,391,57653,2132,7444,1284,6518,1160
"85","06115","Yuba County, California",25732,1030,22740,1185,167,134,20184,1331,2389,777,2992,653
"86","08001","Adams County, Colorado",159422,1625,142349,2167,1004,376,118860,2521,22485,2540,17073,1807
"87","08005","Arapahoe County, Colorado",232763,1920,217138,2619,3099,744,195668,2845,18371,1842,15625,1675
"88","08013","Boulder County, Colorado",123690,1731,117319,2076,324,231,106177,2503,10818,1669,6371,1201
"89","08031","Denver County, Colorado",281928,3071,249106,3700,1940,847,216706,4188,30460,3024,32822,2768
"90","08035","Douglas County, Colorado",108135,1429,105141,1462,656,333,101406,1739,3079,884,2994,709
"91","08041","El Paso County, Colorado",245158,2541,225116,3258,2064,742,209261,3159,13791,1794,20042,2125
"92","08059","Jefferson County, Colorado",224502,1859,207585,2221,2024,582,188413,3055,17148,2295,16917,1650
"93","08069","Larimer County, Colorado",125165,2296,115964,2693,1444,471,105657,2760,8863,1278,9201,1376
"94","08077","Mesa County, Colorado",59703,1228,51955,1882,619,440,46688,2091,4648,1097,7748,1716
"95","08101","Pueblo County, Colorado",63385,1488,53443,1706,1125,534,42463,1911,9855,1283,9942,1329
"96","08123","Weld County, Colorado",96803,1090,87143,1522,1178,451,76337,1802,9628,1288,9660,1120
