"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"61","25001","Barnstable County, Massachusetts",92148,3008,86368,2917,364,231,80388,2697,5616,1352,5780,1159
"62","25003","Berkshire County, Massachusetts",54193,1636,48582,1779,418,227,44564,1900,3600,915,5611,1031
"63","25005","Bristol County, Massachusetts",218570,2828,192803,3238,641,381,178829,3505,13333,1789,25767,2448
"64","25009","Essex County, Massachusetts",294092,2740,266671,3565,319,183,250550,3871,15802,2006,27421,2957
"65","25011","Franklin County, Massachusetts",29239,952,26062,1061,169,118,24158,1059,1735,609,3177,681
"66","25013","Hampden County, Massachusetts",180933,1783,153921,2702,366,236,141371,3095,12184,1952,27012,1924
"67","25015","Hampshire County, Massachusetts",57848,1800,54763,1930,375,247,52323,2049,2065,763,3085,723
"68","25017","Middlesex County, Massachusetts",599499,3901,554515,4254,894,487,533398,4399,20223,2984,44984,2967
"69","25021","Norfolk County, Massachusetts",263862,2627,247494,3046,540,382,235769,3323,11185,1573,16368,1559
"70","25023","Plymouth County, Massachusetts",187608,3032,175357,3364,213,200,166995,3208,8149,1611,12251,1955
"71","25025","Suffolk County, Massachusetts",308889,3403,282070,4564,346,223,260334,5085,21390,2375,26819,2558
"72","25027","Worcester County, Massachusetts",308533,3215,278782,3662,482,239,265053,4589,13247,2161,29751,2331
"73","26005","Allegan County, Michigan",44766,1071,39723,1368,359,287,36578,1438,2786,691,5043,971
"74","26017","Bay County, Michigan",44907,1067,38305,1343,71,91,35448,1366,2786,761,6602,1007
"75","26021","Berrien County, Michigan",64166,1763,57847,1869,327,149,51655,1971,5865,918,6319,1039
"76","26025","Calhoun County, Michigan",54556,1354,47856,1555,106,87,43412,1699,4338,863,6700,1027
"77","26037","Clinton County, Michigan",29959,760,27215,1079,322,149,25063,1106,1830,418,2744,663
"78","26045","Eaton County, Michigan",44329,796,41113,904,143,117,37459,1334,3511,934,3216,644
"79","26049","Genesee County, Michigan",165719,2865,142806,3220,867,501,127288,3220,14651,1887,22913,2342
"80","26055","Grand Traverse County, Michigan",38211,1692,35555,1698,146,134,34227,1807,1182,535,2656,610
"81","26065","Ingham County, Michigan",111915,1765,103936,2139,492,272,92458,2600,10986,1829,7979,1300
"82","26073","Isabella County, Michigan",25000,958,23031,999,47,54,19282,920,3702,644,1969,449
"83","26075","Jackson County, Michigan",62220,1324,57041,1499,283,200,51817,1739,4941,973,5179,1025
"84","26077","Kalamazoo County, Michigan",104075,2038,96711,2273,185,177,90808,2289,5718,1168,7364,1166
"85","26081","Kent County, Michigan",240678,2686,221431,3676,594,310,207121,3894,13716,1643,19247,2243
"86","26087","Lapeer County, Michigan",34271,848,31010,1048,149,159,28182,1109,2679,691,3261,741
"87","26091","Lenawee County, Michigan",38559,1367,35246,1314,116,94,32131,1410,2999,681,3313,636
"88","26093","Livingston County, Michigan",72726,1027,69451,1283,236,169,65242,1456,3973,872,3275,779
"89","26099","Macomb County, Michigan",346457,2849,315591,3494,933,324,299102,3762,15556,2136,30866,2224
"90","26103","Marquette County, Michigan",25725,1127,23247,1176,73,127,21501,1147,1673,524,2478,449
"91","26111","Midland County, Michigan",34096,960,30913,1002,180,161,29159,1058,1574,573,3183,638
"92","26115","Monroe County, Michigan",59528,1330,52876,1696,465,324,47501,1778,4910,1165,6652,1188
"93","26121","Muskegon County, Michigan",64581,1572,56964,1944,129,127,51205,1930,5630,1260,7617,1117
"94","26125","Oakland County, Michigan",504944,3257,475606,3889,1090,360,452822,3929,21694,2482,29338,2176
"95","26139","Ottawa County, Michigan",104281,1341,95864,1837,230,183,91092,2140,4542,1014,8417,1529
"96","26145","Saginaw County, Michigan",80958,1412,70197,2132,190,130,64125,2288,5882,1210,10761,1599
"97","26147","St. Clair County, Michigan",65117,1530,59122,1807,209,127,54672,1901,4241,886,5995,961
"98","26155","Shiawassee County, Michigan",27277,902,24035,1092,190,164,22399,1183,1446,532,3242,764
"99","26159","Van Buren County, Michigan",29037,1207,26475,1282,82,100,24126,1340,2267,603,2562,479
"100","26161","Washtenaw County, Michigan",140729,1922,133594,2201,314,189,124147,2205,9133,1354,7135,1206
"101","26163","Wayne County, Michigan",683986,5594,602549,6132,1866,704,517401,6702,83282,3843,81437,3703
"102","27003","Anoka County, Minnesota",127305,1201,118897,1854,459,292,113352,2192,5086,1044,8408,1265
"103","36055","Monroe County, New York",301619,3421,270564,3947,923,398,251965,4168,17676,2088,31055,2609
"104","36059","Nassau County, New York",446978,2927,416368,3747,820,446,397799,3676,17749,2192,30610,2807
"105","36061","New York County, New York",764218,7019,701689,7382,1292,696,651425,7761,48972,3936,62529,4296
"106","36063","Niagara County, New York",88659,1679,75853,2245,224,174,69929,1995,5700,1267,12806,1498
"107","36065","Oneida County, New York",88790,2407,77294,2527,436,231,71617,2640,5241,1027,11496,1273
"108","36067","Onondaga County, New York",185709,2562,162583,2675,756,478,145392,2818,16435,1855,23126,2162
"109","36069","Ontario County, New York",44414,1455,40174,1623,130,142,37468,1573,2576,792,4240,1033
"110","36071","Orange County, New York",127517,2481,114886,2488,290,200,105028,2779,9568,1486,12631,1696
"111","36075","Oswego County, New York",45971,1507,42430,1630,80,74,39531,1750,2819,873,3541,800
"112","36079","Putnam County, New York",34549,1117,32561,1215,76,92,31309,1334,1176,516,1988,742
"113","36081","Queens County, New York",769258,5311,703302,6580,1012,373,643103,7689,59187,3994,65956,4082
"114","36083","Rensselaer County, New York",66127,1231,59190,1552,133,122,55753,1753,3304,964,6937,1085
"115","36085","Richmond County, New York",165990,2568,149379,2770,728,470,132676,3000,15975,2123,16611,1928
"116","36087","Rockland County, New York",100167,1392,88838,1910,158,231,83235,2166,5445,1318,11329,1737
"117","36089","St. Lawrence County, New York",41008,1362,36576,1468,355,267,33720,1468,2501,658,4432,848
"118","36091","Saratoga County, New York",97021,1647,90550,2001,424,277,86621,2136,3505,892,6471,1152
"119","36093","Schenectady County, New York",49022,2193,45616,2159,81,99,42789,2066,2746,694,3406,641
"120","36101","Steuben County, New York",38382,1623,33571,1512,56,67,30360,1497,3155,798,4811,845
"121","36103","Suffolk County, New York",482099,5656,445631,5760,663,415,414248,5831,30720,3043,36468,3506
"122","36105","Sullivan County, New York",25916,1865,22660,1814,151,165,20470,1953,2039,1059,3256,861
"123","36109","Tompkins County, New York",40230,1323,37432,1431,186,160,33678,1624,3568,1052,2798,842
"124","36111","Ulster County, New York",68822,2184,64744,2172,156,160,60744,2570,3844,977,4078,915
"125","36113","Warren County, New York",27595,1268,25026,1422,43,42,22806,1301,2177,601,2569,671
"126","36117","Wayne County, New York",36715,976,32554,1339,237,196,29270,1330,3047,824,4161,931
"127","36119","Westchester County, New York",350919,3361,324962,4265,615,378,296345,4413,28002,2968,25957,2564
"128","37001","Alamance County, North Carolina",64371,1425,58148,1629,167,127,49963,1762,8018,1544,6223,1263
"129","37019","Brunswick County, North Carolina",56399,2486,51426,2623,298,214,46062,2374,5066,1258,4973,954
"130","37021","Buncombe County, North Carolina",107752,2253,95468,2764,357,322,86822,3201,8289,1723,12284,1640
"131","37023","Burke County, North Carolina",33682,1515,27285,1769,47,86,24271,1916,2967,1021,6397,1314
"132","37025","Cabarrus County, North Carolina",75188,1297,69942,1662,436,370,65832,1981,3674,984,5246,1223
"133","37027","Caldwell County, North Carolina",32245,1226,26081,1638,49,84,24514,1685,1518,535,6164,1259
"134","37031","Carteret County, North Carolina",29944,1459,27532,1518,36,44,25855,1518,1641,476,2412,654
"135","37035","Catawba County, North Carolina",61828,1572,53930,1911,61,101,50967,1818,2902,786,7898,1322
"136","37037","Chatham County, North Carolina",28929,1105,25997,1244,223,197,21453,1248,4321,987,2932,836
"137","37045","Cleveland County, North Carolina",39609,1034,31184,1649,0,207,25154,1911,6030,1322,8425,1277
"138","37049","Craven County, North Carolina",39866,1591,36814,1622,197,172,32755,1773,3862,1222,3052,867
"139","37051","Cumberland County, North Carolina",127702,1767,115419,2173,246,208,108375,2440,6798,1276,12283,1365
"140","37057","Davidson County, North Carolina",66295,1833,58543,2065,114,139,53388,2453,5041,1337,7752,1379
"141","37063","Durham County, North Carolina",126123,1989,115915,2427,508,269,107909,2699,7498,1643,10208,1780
"142","37067","Forsyth County, North Carolina",144681,2547,130698,2654,425,328,119786,2870,10487,1917,13983,1685
"143","37069","Franklin County, North Carolina",24413,1309,21486,1551,96,128,19498,1521,1892,719,2927,961
"144","37071","Gaston County, North Carolina",84200,1398,73075,2087,110,136,66546,2447,6419,1365,11125,1561
"145","37081","Guilford County, North Carolina",203199,2753,178263,3327,434,227,150543,4098,27286,3334,24936,2778
"146","37085","Harnett County, North Carolina",46661,1021,42383,1177,137,115,37222,1587,5024,1114,4278,775
"147","37089","Henderson County, North Carolina",47920,1729,43127,1875,109,105,40154,2113,2864,963,4793,1061
"148","37097","Iredell County, North Carolina",65662,1659,58321,1985,170,150,54861,2043,3290,831,7341,1063
"149","37101","Johnston County, North Carolina",69048,1685,63645,1697,51,89,54843,1946,8751,1875,5403,1164
"150","37109","Lincoln County, North Carolina",33244,884,29118,1334,123,164,26629,1384,2366,802,4126,983
"151","37119","Mecklenburg County, North Carolina",410770,3975,387183,4724,507,270,362041,4807,24635,2365,23587,2464
"152","37125","Moore County, North Carolina",39155,1642,34742,1768,26,44,32731,1759,1985,624,4413,1047
"153","37127","Nash County, North Carolina",36248,1513,30928,1773,187,171,27636,1625,3105,1142,5320,1257
"154","37129","New Hanover County, North Carolina",95097,2424,89803,2620,42,69,78606,2955,11155,1846,5294,1329
"155","37133","Onslow County, North Carolina",62941,2875,58782,2977,242,215,54927,2898,3613,1107,4159,892
