"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"1","01003","Baldwin County, Alabama",82325,3231,77281,3480,186,243,71206,3578,5889,1336,5044,1395
"2","01015","Calhoun County, Alabama",44636,2010,38833,2317,0,206,34779,2305,4054,997,5803,1370
"3","01043","Cullman County, Alabama",32090,1233,27889,1303,68,120,25911,1418,1910,766,4201,886
"4","01049","DeKalb County, Alabama",24880,1347,21513,1469,82,137,20118,1483,1313,457,3367,935
"5","01051","Elmore County, Alabama",30712,1330,27867,1566,56,95,25644,1726,2167,799,2845,931
"6","01055","Etowah County, Alabama",40053,1930,35124,2134,60,94,31496,2026,3568,905,4929,1180
"7","01069","Houston County, Alabama",39761,1040,36174,1138,60,47,33212,1107,2902,485,3587,523
"8","01073","Jefferson County, Alabama",264753,3376,240128,4326,555,448,219511,4241,20062,2521,24625,2348
"9","01077","Lauderdale County, Alabama",38761,1573,34254,1972,184,178,28650,2119,5420,1628,4507,1061
"10","01081","Lee County, Alabama",64448,1810,59968,1982,55,100,53983,2391,5930,1595,4480,1287
"11","01083","Limestone County, Alabama",32020,1530,29903,1493,33,56,29072,1500,798,355,2117,561
"12","01089","Madison County, Alabama",155878,2604,148135,2950,392,375,138909,3241,8834,1795,7743,1428
"13","01095","Marshall County, Alabama",35330,1274,31790,1581,17,17,29751,1669,2022,659,3540,798
"14","01097","Mobile County, Alabama",155946,2876,141238,3564,2283,1003,121365,3543,17590,2566,14708,2176
"15","01101","Montgomery County, Alabama",88864,2242,80859,2515,117,136,73837,2540,6905,1344,8005,1477
"16","01103","Morgan County, Alabama",46470,1676,41134,1778,0,206,35274,2117,5860,1256,5336,1376
"17","01115","St. Clair County, Alabama",32829,1261,31061,1526,415,396,27278,2073,3368,1211,1768,959
"18","01117","Shelby County, Alabama",84048,1602,80702,1936,94,156,76079,1972,4529,1059,3346,934
"19","01121","Talladega County, Alabama",30602,1841,25876,1821,0,206,24139,1856,1737,611,4726,931
"20","01125","Tuscaloosa County, Alabama",74259,2679,67356,2989,48,82,62960,3056,4348,1061,6903,1482
"21","01127","Walker County, Alabama",25153,1223,22267,1489,0,206,19334,1550,2933,822,2886,940
"22","02020","Anchorage Municipality, Alaska",105198,2489,102657,2383,89,109,97440,2687,5128,1394,2541,733
"23","02090","Fairbanks North Star Borough, Alaska",35556,1761,34315,1818,192,235,31845,2128,2278,1048,1241,571
"24","02170","Matanuska-Susitna Borough, Alaska",32736,739,31384,777,78,132,28782,902,2524,559,1352,349
"25","04001","Apache County, Arizona",20925,946,12150,1020,46,56,7141,1028,4963,1005,8775,880
"26","04003","Cochise County, Arizona",51982,1532,47825,1587,33,28,42680,1898,5112,1498,4157,1032
"27","04005","Coconino County, Arizona",48993,2018,46383,2065,0,218,39592,1884,6791,1184,2610,559
"28","04013","Maricopa County, Arizona",1611722,9030,1548916,9190,2731,696,1426519,10481,119666,6759,62806,4457
