"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"1","06033","Lake County, California",26194,1356,20228,1419,410,345,17707,1444,2111,682,5966,1232
"2","06037","Los Angeles County, California",3247705,7125,2753258,9407,26815,2580,2434970,12233,291473,7625,494447,8043
"3","06039","Madera County, California",44549,1512,34547,2004,447,333,28074,1890,6026,1209,10002,1369
"4","06041","Marin County, California",102847,1783,93740,2253,494,286,87978,2382,5268,1224,9107,1442
"5","06045","Mendocino County, California",33609,1411,27557,1693,1192,634,21764,1648,4601,1065,6052,1165
"6","06047","Merced County, California",77651,1744,62200,2018,1141,462,49718,2318,11341,1862,15451,1795
"7","06053","Monterey County, California",125553,1864,104329,2735,1599,666,92524,2719,10206,1624,21224,2297
"8","06055","Napa County, California",47482,1286,43319,1400,629,303,39308,1473,3382,909,4163,976
"9","06057","Nevada County, California",39115,1869,33949,1879,1281,506,30003,1908,2665,701,5166,1251
"10","06059","Orange County, California",1003790,4885,916129,5705,6561,1202,844407,6669,65161,4126,87661,4711
"11","06061","Placer County, California",134284,1821,122524,2124,937,356,112967,2667,8620,1382,11760,1409
"12","06065","Riverside County, California",693585,6252,609207,6695,6583,1291,538618,6065,64006,3839,84378,4399
"13","06067","Sacramento County, California",520580,4475,456199,5189,3964,961,394985,5639,57250,3655,64381,3499
"14","06071","San Bernardino County, California",604090,5819,516202,6447,4526,930,444845,7243,66831,4527,87888,4590
"15","06073","San Diego County, California",1093386,5511,979587,7411,7262,1183,901536,8636,70789,4696,113799,5055
"16","06075","San Francisco County, California",354651,3606,312469,4580,2622,748,287098,4742,22749,2456,42182,3144
"17","06077","San Joaquin County, California",216309,2949,179164,3664,1817,679,155480,3949,21867,2605,37145,2546
"18","06079","San Luis Obispo County, California",104669,2328,94407,2892,1707,627,84971,3238,7729,1449,10262,1588
"19","06081","San Mateo County, California",258791,2229,237557,3010,1738,634,220465,3439,15354,1993,21234,2289
"20","06083","Santa Barbara County, California",140665,2428,119198,3111,1443,489,104394,2987,13361,1814,21467,2007
"21","06085","Santa Clara County, California",619337,2673,572416,4495,4572,903,533751,4853,34093,3185,46921,3390
"22","06087","Santa Cruz County, California",93982,2069,84991,2379,923,454,77418,2678,6650,1471,8991,1487
"23","06089","Shasta County, California",69729,1751,55295,2447,915,360,47800,2348,6580,1223,14434,1767
"24","06095","Solano County, California",142577,1713,125067,2481,953,447,114531,2622,9583,1538,17510,1855
"25","06097","Sonoma County, California",189087,2036,168768,2713,2213,735,153773,2913,12782,1847,20319,2322
