"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"105","09013","Tolland County, Connecticut",58244,1449,53563,1647,0,217,48969,1771,1478,621,281,239,2012,861,2669,836
"106","09015","Windham County, Connecticut",45724,1492,40614,1827,113,191,35802,1906,1447,610,24,42,892,453,4218,1109
"107","10001","Kent County, Delaware",70167,1212,63310,1768,45,80,50101,2144,5331,1250,737,470,1045,506,5812,1377
"108","10003","New Castle County, Delaware",220758,2202,206015,2709,444,421,186564,3385,5834,1410,1264,608,3418,1161,11325,1860
"109","10005","Sussex County, Delaware",104731,2939,94945,3007,265,287,76573,3126,6637,1413,1082,465,2663,894,7123,1408
"110","11001","District of Columbia, District of Columbia",319565,3541,288292,4283,247,238,245541,5527,12740,1951,2575,887,9607,2083,21666,2308
"111","12001","Alachua County, Florida",108189,2517,96042,2620,77,111,85390,3005,6694,1619,743,463,5936,1504,6211,1467
"112","12005","Bay County, Florida",79532,2918,72539,2982,0,242,59837,3303,2987,1182,462,285,3032,1081,3961,1212
"113","12009","Brevard County, Florida",254314,3783,232625,4142,116,132,206674,4261,13304,2529,1671,760,7899,1684,13790,2056
"114","12011","Broward County, Florida",747715,6267,684549,7789,418,366,601610,8464,48935,4249,18248,2873,21262,3052,41904,3993
"115","12015","Charlotte County, Florida",88988,3205,81780,3429,279,276,66604,3580,6429,1607,762,512,1631,808,5577,1537
"116","12017","Citrus County, Florida",68269,2333,60611,2478,437,452,47706,2704,4054,820,403,398,1725,885,5933,1505
"117","12019","Clay County, Florida",80459,2040,76189,2488,0,242,64161,2928,6720,1574,348,444,1015,654,3255,1254
"118","12021","Collier County, Florida",163943,4893,147005,4678,53,87,132528,4773,8173,1664,657,542,7919,2196,9019,1942
"119","12023","Columbia County, Florida",27545,1092,23639,1334,131,195,14679,1529,3381,948,645,496,529,414,3377,1075
"120","12031","Duval County, Florida",406301,5163,367369,6464,727,701,301782,7348,21459,2845,5261,1478,14150,2691,24782,2806
"121","12033","Escambia County, Florida",126980,2622,113472,3199,215,167,97661,3344,6486,1251,1376,566,3438,1031,10070,1695
"122","12035","Flagler County, Florida",48187,1799,40681,2236,172,156,29582,2384,3600,1179,383,327,4860,1375,2646,978
"123","12053","Hernando County, Florida",81497,1957,73388,2285,189,216,58910,2772,3464,850,753,525,3108,1108,5001,1162
"124","12055","Highlands County, Florida",46166,2249,39714,2437,63,108,29840,2444,4551,1295,884,648,899,585,5553,1624
"125","12057","Hillsborough County, Florida",578259,4604,540158,5069,531,413,451555,6411,19924,2178,3521,1276,14143,2273,23958,2690
"126","12061","Indian River County, Florida",69974,2297,62133,2533,0,242,53173,2385,4285,1070,528,494,3438,1240,4403,1381
"127","12069","Lake County, Florida",156435,3639,139328,4829,283,251,120316,4867,12130,2706,866,515,2879,1241,14228,3128
"128","12071","Lee County, Florida",320466,5688,292562,6024,234,202,251305,6091,18345,2015,2735,898,7711,1404,20193,2628
"129","12073","Leon County, Florida",121423,2483,113061,2947,99,117,100405,3674,5296,1296,1500,693,2325,848,6037,1467
"130","12081","Manatee County, Florida",163520,4229,150511,4134,268,206,134804,4450,6606,1396,1026,674,6699,1848,6310,1422
"131","12083","Marion County, Florida",157348,3156,143557,3954,222,202,115981,4072,13566,2216,3804,1403,2212,821,11579,2223
