"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"1","06047","Merced County, California",80969,1208,70126,2247,112,139,50291,2309,6334,962,1062,473,786,374,10057,1819
"2","06053","Monterey County, California",125518,2011,110484,2519,289,240,81823,3022,8985,1107,1192,538,1588,572,13446,1628
"3","06055","Napa County, California",47848,1322,43064,1543,205,168,35207,1564,4552,879,321,206,1095,435,3689,814
"4","06057","Nevada County, California",41638,1685,35983,1903,187,162,28647,2102,5588,1186,1017,519,397,265,5258,1530
"5","06059","Orange County, California",1037312,5286,950782,7074,1966,572,820607,8295,80061,4393,4954,1265,17944,1903,68586,4408
"6","06061","Placer County, California",143659,1895,128359,2464,347,238,112329,2783,23317,2314,940,348,4048,982,11252,1566
"7","06065","Riverside County, California",718733,5454,633737,6966,1716,681,539724,7024,57727,3329,12272,1922,14653,1897,70343,4728
"8","06067","Sacramento County, California",543250,3675,486746,4582,1876,636,414760,5852,38573,2724,5638,1110,10500,1727,46004,3478
"9","06071","San Bernardino County, California",626223,4247,542458,4785,1239,478,449890,5715,57315,3524,10175,1739,26716,2539,57049,3926
"10","06073","San Diego County, California",1126419,6245,1024065,8019,2848,755,906728,8856,81194,4817,7069,1340,21454,2278,80900,4532
"11","06075","San Francisco County, California",360323,4331,317000,5107,680,410,284088,4982,13429,1737,2860,766,8274,1584,35049,2985
"12","06077","San Joaquin County, California",226624,2501,191088,3235,362,233,154669,3465,20065,2147,1688,524,4980,970,30556,2805
"13","06079","San Luis Obispo County, California",104544,2839,93299,3346,339,252,76573,3487,9504,1501,1076,383,2073,810,9172,1852
"14","06081","San Mateo County, California",264185,2424,240872,2614,564,392,214929,3389,14395,1738,1357,510,3812,855,19501,2269
"15","06083","Santa Barbara County, California",147466,1981,130672,2356,733,433,111598,2777,8056,1234,1154,557,3927,981,12867,1906
"16","06085","Santa Clara County, California",633811,3358,586000,4663,1188,450,528057,4863,33346,2138,4735,857,11795,1790,36016,2996
"17","06087","Santa Cruz County, California",95940,2122,84732,2439,146,148,73151,2686,6855,1239,1427,566,1615,646,9593,1590
"18","06089","Shasta County, California",71968,1295,60345,1991,145,106,44776,2273,10871,1340,428,192,2100,728,9523,1377
"19","06095","Solano County, California",151127,1649,138783,2249,451,263,114316,2892,12010,1605,844,403,1808,585,10536,1782
"20","06097","Sonoma County, California",188829,2691,169493,3317,424,189,142668,3524,15130,1688,2162,818,4435,1372,14901,1956
"21","06099","Stanislaus County, California",173573,1630,150988,2627,736,375,120029,3612,16153,1750,1035,428,2064,718,20521,1979
"22","06101","Sutter County, California",31945,907,26672,1164,46,71,21154,1470,2653,669,281,189,717,398,4556,876
"23","06107","Tulare County, California",137576,1924,109151,2693,235,151,72124,2935,12282,1616,1419,666,4360,1131,24065,2147
"24","06111","Ventura County, California",272085,2513,245005,3525,576,293,220542,3719,15088,1356,1391,497,3974,1133,23106,2056
"25","06113","Yolo County, California",73495,1504,65390,2003,63,106,51790,2402,5975,1005,251,197,815,389,7290,1522
"26","06115","Yuba County, California",26228,907,22764,1117,140,153,11652,1380,2088,731,265,236,953,502,2511,739
"27","08001","Adams County, Colorado",165730,1819,142331,2919,408,280,120659,3303,11730,1357,697,423,3408,916,19991,2370
"28","08005","Arapahoe County, Colorado",240774,2112,219333,2486,663,494,192403,2756,13077,1556,1998,780,4955,1246,16486,1806
"29","08013","Boulder County, Colorado",128497,1759,118214,2235,478,274,106156,2646,7776,1225,1524,624,3410,946,6873,1454
"30","08014","Broomfield County, Colorado",27665,629,25923,832,38,68,23571,961,1890,523,126,181,429,334,1313,509
"31","08031","Denver County, Colorado",296938,2993,260484,3979,831,410,225549,4364,14027,1745,6782,1711,8350,1602,28104,2868
"32","08035","Douglas County, Colorado",119151,1850,114768,2069,228,165,105474,2133,9775,1430,772,427,1676,587,2707,867
"33","08041","El Paso County, Colorado",258158,2406,236554,2986,760,300,207051,3806,16469,1747,1366,449,5261,1212,16343,1951
"34","08059","Jefferson County, Colorado",231651,1904,212632,2812,1030,437,186189,2993,17213,1863,1283,471,4865,1207,14154,2137
"35","08069","Larimer County, Colorado",134709,2471,121098,2841,394,237,104180,3432,12259,1558,1352,560,4225,990,9386,1486
"36","08077","Mesa County, Colorado",61763,1535,54193,1742,885,409,44710,2228,4047,1180,318,224,1911,726,5659,1244
"37","08101","Pueblo County, Colorado",65098,1367,51828,1837,270,175,41173,1900,4280,743,854,378,1618,602,11652,1499
"38","08123","Weld County, Colorado",104611,1323,88348,1950,568,281,73227,2038,10635,1463,673,324,3611,800,12652,1557
"39","09001","Fairfield County, Connecticut",336433,3586,297508,4337,1018,366,268973,4522,11787,1752,1781,571,7888,1497,31037,2844
"40","09003","Hartford County, Connecticut",347565,3228,293165,4052,1030,438,254144,4249,12227,1747,2075,713,9854,1422,44546,2962
"41","09005","Litchfield County, Connecticut",73709,1790,65277,2070,184,158,58943,2191,2856,746,50,66,1197,493,7235,1333
"42","09007","Middlesex County, Connecticut",67227,1912,57383,2331,0,207,50994,2428,3815,1031,336,250,2406,928,7438,1424
"43","09009","New Haven County, Connecticut",324837,3662,269100,4482,1612,630,236208,3945,12853,1809,908,430,9216,1760,46521,3874
"44","09011","New London County, Connecticut",107229,2683,94584,2707,406,267,81352,2937,5215,1266,687,338,1850,689,10795,1490
"45","09013","Tolland County, Connecticut",55939,1391,51248,1747,260,258,46673,1942,1308,449,239,245,1428,722,3263,866
"46","09015","Windham County, Connecticut",43823,1624,36964,1686,285,210,32866,1647,1835,698,436,319,957,434,5902,1058
"47","10001","Kent County, Delaware",63807,1705,55688,2145,106,120,44179,2474,2762,754,724,466,1095,755,7024,1343
"48","10003","New Castle County, Delaware",206101,2034,181276,3111,551,272,168546,3204,5612,1242,741,386,10415,1419,14410,1779
"49","10005","Sussex County, Delaware",88029,2693,72624,2955,211,158,57786,2718,5365,998,753,345,1711,700,13694,1977
"50","11001","District of Columbia, District of Columbia",281475,3302,233087,4236,297,261,203182,4239,9929,1441,2104,671,8426,1608,39962,3195
"51","12001","Alachua County, Florida",97714,2507,85019,2476,405,229,74789,2840,5174,1152,785,421,3003,858,9692,1570
"52","12005","Bay County, Florida",70600,2581,62722,3038,87,149,51389,3042,2553,773,204,245,1313,428,6565,1286
"53","12009","Brevard County, Florida",228385,4217,200836,5238,661,460,176498,5031,14454,2283,1614,740,4325,1009,23224,3127
"54","12011","Broward County, Florida",685559,5668,580907,7350,834,417,500720,6526,50703,3956,20965,3205,33241,3656,71411,4385
"55","12015","Charlotte County, Florida",76056,2864,64154,3020,447,312,53738,2791,4349,983,137,132,1543,661,10359,1499
"56","12017","Citrus County, Florida",61290,2602,51705,2553,331,254,43355,2436,3843,910,540,371,1057,531,8528,1677
"57","12019","Clay County, Florida",73136,2128,68570,2133,142,208,55039,2613,6151,1229,939,427,610,307,3956,984
"58","12021","Collier County, Florida",144354,4069,124560,3850,651,465,107828,3619,6079,1285,1789,847,4941,1196,14853,2602
"59","12023","Columbia County, Florida",24335,1258,18823,1547,78,119,13631,1380,2781,821,521,415,703,356,4809,1117
"60","12031","Duval County, Florida",359607,3522,297040,5812,368,186,240998,5615,22404,2463,2455,784,15262,2399,47305,4055
"61","12033","Escambia County, Florida",122406,2545,103396,3117,0,226,91221,3032,5816,1149,609,263,4617,1190,14393,2181
"62","12035","Flagler County, Florida",42370,1682,30667,2052,61,102,25404,1946,3619,912,0,226,6510,1778,5193,1324
"63","12053","Hernando County, Florida",74110,2274,62799,2444,566,369,55024,2542,3932,788,808,421,2218,767,9093,1464
"64","12055","Highlands County, Florida",42948,2328,33011,2932,265,224,23862,2397,3488,968,435,293,873,452,9064,1609
"65","12057","Hillsborough County, Florida",521609,4747,464054,5979,875,411,397524,5819,20341,2520,2622,775,12127,1781,45428,3448
"66","12061","Indian River County, Florida",58044,2623,47533,2628,109,179,43416,2639,4001,853,401,279,1460,784,9051,1619
"67","12069","Lake County, Florida",136255,2937,119707,3216,358,261,98432,3172,6955,1280,1715,748,2575,845,13973,1856
"68","12071","Lee County, Florida",266266,6274,234018,6201,1056,467,197549,6039,18343,2136,1576,517,8904,1560,23344,2395
"69","12073","Leon County, Florida",115193,2769,103207,3093,350,216,90530,3359,4945,1179,319,251,3508,968,8478,1649
"70","12081","Manatee County, Florida",144329,3150,123147,3538,355,305,106835,3894,5045,935,1339,495,5474,1461,15708,2146
"71","12083","Marion County, Florida",140620,3633,115196,4666,456,270,95008,4521,9897,1780,1354,577,3180,1206,22244,2756
"72","12085","Martin County, Florida",62496,2324,54642,2725,115,192,45947,2616,3028,886,235,200,808,460,7046,1366
"73","12086","Miami-Dade County, Florida",872495,7390,671252,7791,1095,435,555177,8248,65364,4029,4118,1021,49283,3795,151960,6507
"74","12087","Monroe County, Florida",31285,1883,26651,1788,0,226,23472,1724,2216,686,45,76,1535,755,3099,948
"75","12089","Nassau County, Florida",31837,1587,29248,1460,102,125,22899,1639,2561,745,351,334,842,493,1747,666
"76","12091","Okaloosa County, Florida",79011,2074,67030,2307,258,213,60028,2479,4191,976,158,151,3574,1107,8407,1124
"77","12095","Orange County, Florida",460602,5613,397734,6894,445,295,343037,7866,22306,2443,3803,1665,10529,2196,52339,4619
"78","12097","Osceola County, Florida",102385,4041,87118,3972,0,226,71677,3807,5568,1597,581,379,3180,1230,12087,2192
"79","12099","Palm Beach County, Florida",547824,6969,466514,6859,801,394,390740,7011,33835,2692,4961,1210,13717,2090,67593,4173
"80","12101","Pasco County, Florida",207993,3164,174469,3902,489,316,154753,4557,7518,1268,973,395,7686,1303,25838,2487
"81","12103","Pinellas County, Florida",405807,5631,335787,5835,890,426,292685,5669,12711,1751,1641,575,17857,2629,52163,3444
"82","12105","Polk County, Florida",233058,4313,151670,4763,549,324,124448,4535,11084,1516,1750,527,39570,3858,41818,3678
"83","18035","Delaware County, Indiana",46588,1453,36823,1671,196,214,28364,1909,4172,893,607,401,2218,711,7547,1091
"84","18039","Elkhart County, Indiana",73363,1396,61689,1706,606,439,47534,1827,4138,905,864,381,1211,619,10463,1225
"85","18043","Floyd County, Indiana",28614,1058,22191,1394,43,79,19059,1338,1690,456,132,147,330,202,6093,1159
"86","18053","Grant County, Indiana",25878,1360,18070,1482,303,293,13230,1373,2041,526,144,137,2839,895,4969,937
"87","18057","Hamilton County, Indiana",118666,2268,113536,2551,318,245,101874,2510,11153,2143,218,304,1226,655,3904,1029
"88","18059","Hancock County, Indiana",29239,511,25210,1142,156,244,21689,1386,2313,856,176,239,1746,981,2283,852
"89","18063","Hendricks County, Indiana",58285,1380,52453,2135,36,61,46891,2141,8567,1866,217,222,967,814,4865,1223
"90","18067","Howard County, Indiana",34243,1399,26785,1670,187,134,21530,1691,2230,718,324,248,1322,554,6136,1180
"91","18081","Johnson County, Indiana",58648,1070,51790,1909,48,81,44428,1971,4751,1543,337,322,854,566,6004,1330
"92","18085","Kosciusko County, Indiana",30000,1395,25200,1479,53,57,19391,1369,2108,584,107,108,922,461,3878,893
"93","18089","Lake County, Indiana",184206,2966,149074,3617,646,499,119627,3875,15314,1713,2307,944,4001,1052,31131,2531
"94","18091","LaPorte County, Indiana",42385,1508,33933,1799,129,148,26389,1767,3723,912,476,319,766,409,7686,1356
"95","18095","Madison County, Indiana",50751,1478,39027,1736,102,97,30139,1758,4764,1085,565,269,2649,825,9075,1070
"96","18097","Marion County, Indiana",369122,3641,298754,4757,626,448,237760,5284,23148,2259,2157,800,8863,1879,61505,4164
"97","18105","Monroe County, Indiana",57047,1605,50094,1802,152,188,43472,2095,3138,884,371,317,2181,686,4772,1205
"98","18109","Morgan County, Indiana",26441,737,21962,1241,96,164,14827,1300,2425,700,400,326,236,173,4243,1063
"99","18127","Porter County, Indiana",64722,1325,54708,1986,348,272,47298,1834,3779,778,786,611,897,506,9117,1642
"100","18141","St. Joseph County, Indiana",98705,2519,80409,2779,474,321,66790,3121,6518,1110,692,307,2611,780,15685,1481
"101","18157","Tippecanoe County, Indiana",69502,1763,61625,1974,394,414,52600,2292,3297,1004,839,599,3749,944,4128,1001
"102","18163","Vanderburgh County, Indiana",77174,1582,63210,2365,0,197,53373,2221,4758,1154,281,246,2297,906,11667,1738
"103","18167","Vigo County, Indiana",41933,1490,34433,1640,284,239,26576,1809,2254,545,427,267,999,486,6501,1198
"104","18177","Wayne County, Indiana",26521,1088,18623,1505,72,83,13278,1257,2342,626,130,117,2637,914,5261,948
"105","19013","Black Hawk County, Iowa",52928,1125,43259,1788,129,120,36441,1782,2230,651,237,194,1897,582,7772,1326
