"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"1","01003","Baldwin County, Alabama",83501,2931,71067,3036,433,393,48113,2969,10767,1766,904,731,2631,1230,9803,1902
"2","01015","Calhoun County, Alabama",44264,1834,34344,1827,229,205,24763,1680,4914,1279,357,330,853,521,9067,1238
"3","01043","Cullman County, Alabama",30323,1437,24503,1394,204,216,14954,1365,3016,864,246,187,383,306,5437,1009
"4","01049","DeKalb County, Alabama",26462,1458,20646,1407,0,201,14450,1450,2077,669,121,106,772,398,5044,1119
"5","01051","Elmore County, Alabama",30155,1094,24772,1297,41,68,20463,1332,2201,695,247,291,414,304,4969,1127
"6","01055","Etowah County, Alabama",38625,1544,31585,1842,0,201,22062,1631,2845,919,120,129,922,537,6118,1030
"7","01069","Houston County, Alabama",38861,1098,29012,1145,192,153,22427,985,1990,408,244,115,572,178,9277,946
"8","01073","Jefferson County, Alabama",255940,3851,213733,4653,163,150,166462,4910,19775,2105,1582,670,7419,1656,34788,2584
"9","01077","Lauderdale County, Alabama",38670,1735,29439,2010,50,84,19290,1822,3458,750,102,146,1736,738,7495,1461
"10","01081","Lee County, Alabama",59336,1847,48633,2473,237,297,39702,2624,8367,1643,365,317,4103,1353,6600,1734
"11","01083","Limestone County, Alabama",32333,1294,26508,1708,42,69,20585,1668,3863,1093,258,243,1148,587,4677,982
"12","01089","Madison County, Alabama",152723,1873,134551,3101,136,142,116478,3792,9578,1594,1848,740,3448,1318,14724,2205
"13","01095","Marshall County, Alabama",36022,1112,29963,1432,0,201,22118,1703,2021,606,252,187,462,344,5597,1123
"14","01097","Mobile County, Alabama",158627,3164,125821,3412,3266,1320,81697,3284,12609,1873,950,463,3651,1019,29155,2590
"15","01101","Montgomery County, Alabama",87553,2304,72134,2537,136,174,57579,2738,5037,1023,378,249,2033,709,13386,1584
"16","01103","Morgan County, Alabama",45851,1482,36950,1895,102,128,28422,1928,3188,997,79,107,2063,907,6838,1384
"17","01115","St. Clair County, Alabama",30765,1596,25750,2053,170,209,21299,1917,2313,959,305,362,462,333,4553,1248
"18","01117","Shelby County, Alabama",80944,1588,72931,1947,85,89,61981,2384,7284,1259,204,179,1113,536,6900,1345
"19","01121","Talladega County, Alabama",31219,1460,25474,1704,78,99,17822,1458,4161,968,199,150,668,395,5077,1081
"20","01125","Tuscaloosa County, Alabama",74053,2334,60987,2385,332,354,47731,2671,6539,1243,405,310,2271,748,10795,1414
"21","01127","Walker County, Alabama",24870,1142,19315,1280,91,135,11814,1411,2728,879,792,505,372,318,5183,970
"22","02020","Anchorage Municipality, Alaska",105285,2132,96716,2501,104,131,82225,2598,4221,1262,776,473,1791,839,6778,1590
"23","02090","Fairbanks North Star Borough, Alaska",36378,1770,32780,2099,463,433,23744,2072,2772,723,552,595,1329,876,2269,792
"24","02170","Matanuska-Susitna Borough, Alaska",32198,833,28254,1038,113,91,23723,1105,1390,366,98,99,773,260,3171,602
"25","04001","Apache County, Arizona",21936,1023,7749,834,13,22,4258,798,1647,455,247,226,216,129,13971,1056
"26","04003","Cochise County, Arizona",49751,1727,41616,2085,340,393,33607,1922,6386,995,344,241,841,433,7294,1434
"27","04005","Coconino County, Arizona",47275,2211,38404,2186,134,117,29092,1963,4038,880,669,446,1162,630,7709,1302
"28","04013","Maricopa County, Arizona",1582464,7714,1407792,8739,4652,1094,1159030,10592,120005,5158,11522,1604,35219,3324,139453,6049
"29","04015","Mohave County, Arizona",90270,2972,75040,3285,265,220,58443,3460,9193,1504,1068,654,1999,629,13231,2246
"30","04017","Navajo County, Arizona",34285,1984,22032,1865,115,117,16597,1840,2434,572,500,275,424,342,11829,1163
"31","04019","Pima County, Arizona",402323,4369,351288,5236,1602,468,280299,5753,29545,2248,4029,1015,9468,1482,41567,3402
"32","04021","Pinal County, Arizona",147936,3458,128637,3274,357,256,99787,3756,19343,1895,1262,518,5452,1489,13847,1720
"33","04025","Yavapai County, Arizona",100836,2498,85281,3358,439,484,64569,3013,13796,2131,2040,885,1953,927,13602,2294
"34","04027","Yuma County, Arizona",74532,2212,59790,2202,446,366,43269,2063,8749,1565,888,450,3326,1047,11416,1834
"35","05007","Benton County, Arkansas",100128,1660,84215,2033,89,147,68782,2852,6494,1028,524,259,3352,1052,12561,1770
"36","05031","Craighead County, Arkansas",42631,1302,34008,1699,0,201,26113,1835,2475,749,129,154,3990,1230,4633,1073
"37","05045","Faulkner County, Arkansas",43701,1747,35331,1850,53,88,28397,1660,3289,789,924,452,1999,1026,6371,1335
"38","05051","Garland County, Arkansas",40407,1643,33108,1659,34,58,23241,1832,3958,1034,239,190,598,596,6701,1342
"39","05069","Jefferson County, Arkansas",25689,1314,17570,1648,163,205,9698,1155,1959,519,257,214,1554,626,6565,1117
"40","05085","Lonoke County, Arkansas",28132,566,23766,1038,19,32,18254,1389,2394,637,64,67,810,453,3556,840
"41","05119","Pulaski County, Arkansas",157678,2932,127874,3404,450,371,97968,3850,13482,1879,1117,539,5468,1495,24336,2262
"42","05125","Saline County, Arkansas",43496,1418,37156,1842,235,214,25664,1856,5050,1055,219,222,714,539,5626,1428
"43","05131","Sebastian County, Arkansas",51739,1476,41627,2200,166,173,31633,2140,3909,1066,99,126,994,485,9118,1507
"44","05143","Washington County, Arkansas",90001,1627,73545,2398,632,452,54154,2833,4829,1209,785,435,3438,1214,13018,2106
"45","05145","White County, Arkansas",29577,1291,23199,1520,0,201,13856,1730,1791,501,56,89,1166,563,5212,1199
"46","06001","Alameda County, California",575410,4162,526853,4706,836,424,473902,4883,29565,2474,3365,629,11719,1834,36838,2702
"47","06007","Butte County, California",88636,1728,77468,2352,46,76,62462,2628,8972,1646,2986,1118,2113,704,9055,1574
"48","06013","Contra Costa County, California",396133,3132,367739,3740,472,294,324618,4940,30767,2683,2556,709,7411,1645,20983,2591
"49","06017","El Dorado County, California",72774,1878,65616,2044,146,150,49946,2091,11650,1381,1253,424,1568,640,5590,1426
"50","06019","Fresno County, California",309519,2529,251988,4392,323,223,192684,4784,28063,2554,3692,850,8160,1835,49371,3284
"51","06023","Humboldt County, California",55773,1388,48657,1717,85,119,37369,1809,4004,981,589,381,808,481,6308,1204
"52","06025","Imperial County, California",41764,2195,35989,2311,49,87,28281,2302,3361,715,289,233,1194,602,4581,1015
"53","06029","Kern County, California",273167,3833,230611,4826,471,382,172704,5185,21214,2192,1261,503,7720,1581,34836,3412
"54","06031","Kings County, California",43727,1039,36770,1442,0,211,30942,1505,3056,720,492,416,1052,543,5905,1060
"55","06033","Lake County, California",26774,1463,21215,1616,0,211,15140,1546,3447,797,352,261,721,623,4838,1276
"56","06037","Los Angeles County, California",3313908,10529,2867792,13575,5933,1165,2382268,14608,310982,7102,18499,1991,99720,4978,346396,8810
"57","06039","Madera County, California",44484,1786,38948,1976,73,85,27129,2086,3448,831,709,355,733,477,4803,991
"58","06041","Marin County, California",104954,1838,98894,2202,256,214,89613,2634,6915,1258,750,434,1831,799,4229,1318
"59","06045","Mendocino County, California",33794,1416,28824,1499,203,203,20056,1793,5192,1067,574,382,535,358,4435,853
"60","06047","Merced County, California",79487,1497,69917,1922,0,211,48629,2734,6607,1102,1604,759,922,394,8648,1686
"61","06053","Monterey County, California",126299,2071,110498,2665,268,236,80172,2675,10342,1543,1073,524,2176,560,13625,2086
"62","06055","Napa County, California",47315,1405,43488,1676,105,123,37477,1688,4149,761,515,281,995,368,2832,821
"63","06057","Nevada County, California",41447,1915,36592,2161,183,182,29511,2004,5369,1138,673,367,952,639,3903,1119
"64","06059","Orange County, California",1040394,5391,959705,6261,1581,613,828223,7851,82671,4252,6795,1440,15724,1550,64965,4377
"65","06061","Placer County, California",144691,2698,131346,3144,247,219,116216,3746,21008,2485,730,366,3041,861,10304,1697
"66","06065","Riverside County, California",728103,4596,648662,6430,1546,574,545128,6557,64617,3498,4001,739,15580,1928,63861,4213
"67","06067","Sacramento County, California",543560,3122,493010,3936,1204,437,422777,4869,46427,3516,3796,792,8580,1328,41970,2743
"68","06071","San Bernardino County, California",638647,5380,549912,5899,1191,477,446795,7439,60242,3539,4859,953,27254,2694,61481,3741
"69","06073","San Diego County, California",1130911,6394,1044147,8726,1944,560,905565,9762,84887,4396,6012,1099,17937,2048,68827,4868
"70","06075","San Francisco County, California",362827,5010,323827,5307,722,558,290480,6085,13280,2028,1914,682,7085,1322,31915,2815
"71","06077","San Joaquin County, California",231917,1766,197993,2760,1015,540,158935,3531,16594,1702,1682,607,5919,1077,28005,2147
"72","06079","San Luis Obispo County, California",106198,2386,94564,2912,412,285,76276,2940,10662,1462,990,483,1919,695,9715,1775
"73","06081","San Mateo County, California",259654,3087,240406,3432,820,483,219995,4325,13021,1657,1041,379,3677,868,15571,2142
"74","06083","Santa Barbara County, California",146224,2369,132407,2691,435,241,111357,3471,9240,1370,1119,419,3410,1092,10407,1957
"75","06085","Santa Clara County, California",645108,4162,604279,5104,936,514,542041,5164,38274,2608,4432,969,11304,1942,29525,2800
"76","06087","Santa Cruz County, California",94994,2034,84090,2886,124,127,70387,3093,8711,1777,1736,815,3899,1545,7005,1456
"77","06089","Shasta County, California",68198,1621,59100,1966,306,235,43775,1998,9171,1277,1624,612,1692,550,7406,1259
"78","06095","Solano County, California",152291,1537,142154,2302,149,146,121555,2849,12375,1539,477,270,1819,715,8318,1484
"79","06097","Sonoma County, California",187434,2355,174340,2984,958,457,146761,3379,16923,1791,2323,806,2830,897,10264,1568
"80","06099","Stanislaus County, California",175171,1600,152783,2589,402,239,121389,3463,16965,2217,1404,581,2145,723,20243,2392
"81","06101","Sutter County, California",31989,879,27315,1097,43,74,19718,1506,2462,753,116,98,816,606,3858,874
"82","06107","Tulare County, California",139197,1618,111006,2991,119,157,74479,2999,13448,1616,864,542,2564,779,25627,2317
"83","06111","Ventura County, California",271980,2680,243896,3841,238,199,217688,4240,16420,1809,1438,440,4243,1254,23841,2653
"84","06113","Yolo County, California",74428,1333,67489,1627,0,211,54764,2298,5604,1139,339,273,1708,537,5231,1228
"85","06115","Yuba County, California",26191,1076,19877,1433,39,65,13094,1435,3427,973,41,71,1076,637,5238,1091
"86","08001","Adams County, Colorado",168361,1559,148161,2897,479,290,124507,3400,13684,1672,1106,455,3031,953,17169,2182
"87","08005","Arapahoe County, Colorado",242141,2134,223344,3111,318,210,196347,3736,14706,1763,1292,461,2789,724,16008,2060
"88","08013","Boulder County, Colorado",128295,1837,118235,2338,242,186,106242,2324,8995,1742,850,363,2567,758,7493,1334
"89","08014","Broomfield County, Colorado",28530,450,26567,901,92,114,23877,1156,1739,509,145,120,628,487,1335,716
"90","08031","Denver County, Colorado",310324,3035,276270,3630,862,417,240822,4582,11843,1915,4515,1345,9669,1629,24385,2265
"91","08035","Douglas County, Colorado",125035,1382,120967,1723,151,172,110735,1977,11006,1608,759,355,1046,527,3022,741
"92","08041","El Paso County, Colorado",260851,2707,241030,3343,638,333,208472,3828,16355,1993,1442,465,4366,1239,15455,1987
"93","08059","Jefferson County, Colorado",233272,1980,213676,3023,717,342,189463,3411,15073,1416,1448,456,3392,1007,16204,2125
"94","08069","Larimer County, Colorado",139382,2415,126613,2839,283,322,110842,3704,11758,1477,1458,519,3902,1190,8867,1737
"95","08077","Mesa County, Colorado",61848,1549,52672,1689,276,222,43148,2102,4395,1098,340,309,1948,836,7228,1205
"96","08101","Pueblo County, Colorado",64954,1271,51664,1997,196,152,42522,1976,5185,998,359,263,1465,592,11825,1741
"97","08123","Weld County, Colorado",107929,1530,97356,1992,206,166,78012,2301,13996,1541,620,312,2088,650,8485,1536
"98","09001","Fairfield County, Connecticut",345634,3285,313802,4579,766,315,279637,5207,12286,1757,2071,831,6595,1456,25237,2925
"99","09003","Hartford County, Connecticut",348049,3171,300208,3953,819,391,257608,4695,14122,1922,2180,667,7989,1311,39852,3544
"100","09005","Litchfield County, Connecticut",73598,1684,63482,2101,228,189,57230,2211,2427,635,266,180,1890,622,8226,1257
"101","09007","Middlesex County, Connecticut",66983,1949,59435,2193,164,138,53107,2227,2798,715,205,179,2430,855,5118,1152
"102","09009","New Haven County, Connecticut",335539,3432,282981,4658,974,496,244631,4951,9015,1483,1265,520,9647,2065,42911,3447
"103","09011","New London County, Connecticut",108098,1938,95882,2373,214,154,84125,2591,5068,1145,351,249,2071,703,10145,1833
"104","09013","Tolland County, Connecticut",55619,1737,49007,1778,201,258,45023,1913,1528,552,350,346,2210,925,4402,912
"105","09015","Windham County, Connecticut",44571,1494,37768,2022,166,196,33314,2033,1619,659,661,544,1133,567,5670,1230
"106","10001","Kent County, Delaware",67841,1367,58365,1913,228,187,46342,2185,3343,813,340,238,784,352,8692,1287
"107","10003","New Castle County, Delaware",206351,2324,188900,3128,344,193,173537,3136,7367,1250,1244,457,4420,1131,13031,1536
"108","10005","Sussex County, Delaware",93479,3097,78414,3534,213,164,60857,3485,5618,1304,1088,555,1355,628,13710,1877
"109","11001","District of Columbia, District of Columbia",287476,2752,247744,3812,182,126,217270,4171,11600,1714,2508,814,5432,1320,34300,3079
"110","12001","Alachua County, Florida",97782,2912,84985,3213,139,156,75438,3189,6287,1411,449,293,4784,1055,8013,1736
"111","12005","Bay County, Florida",73856,2382,64741,2638,65,111,53334,2644,2417,696,527,327,1920,823,7195,1494
"112","12009","Brevard County, Florida",226363,4269,201969,4822,946,464,176892,5118,13523,1965,1089,632,3484,1007,20910,2473
"113","12011","Broward County, Florida",694980,6477,602912,7844,1164,440,519806,7286,49494,3935,20737,3271,23537,2838,68531,5051
