"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"1","01003","Baldwin County, Alabama",82325,3231,71538,3567,186,243,52864,3252,8344,1879,446,361,1866,916,8921,1709
"2","01015","Calhoun County, Alabama",44636,2010,35353,2291,0,206,26201,2045,3152,888,148,172,1311,631,7972,1519
"3","01043","Cullman County, Alabama",32090,1233,26391,1388,68,120,16194,1699,3277,923,96,94,705,397,4994,1039
"4","01049","DeKalb County, Alabama",24880,1347,20475,1467,82,137,13189,1338,1801,670,210,195,196,127,4209,964
"5","01051","Elmore County, Alabama",30712,1330,26051,1658,56,95,20835,1824,1895,726,224,215,527,306,4134,1209
"6","01055","Etowah County, Alabama",40053,1930,32403,1969,60,94,20792,1962,4368,1153,250,265,851,489,6799,1180
"7","01069","Houston County, Alabama",39761,1040,33615,1104,60,47,23679,948,2428,462,93,61,729,245,5417,663
"8","01073","Jefferson County, Alabama",264753,3376,222696,4170,599,455,166777,5672,19064,1959,1063,494,7760,1440,34297,3152
"9","01077","Lauderdale County, Alabama",38761,1573,29012,2095,184,178,20398,2135,2338,742,495,464,2310,1056,7439,1396
"10","01081","Lee County, Alabama",64448,1810,54722,2315,55,100,44364,2745,5947,1848,509,354,2318,1124,7408,1551
"11","01083","Limestone County, Alabama",32020,1530,29635,1501,85,103,22853,1760,3373,957,665,495,392,243,1993,568
"12","01089","Madison County, Alabama",155878,2604,140312,3213,392,375,119621,3632,10983,2068,643,393,4110,1231,11456,1719
"13","01095","Marshall County, Alabama",35330,1274,30127,1682,17,17,22420,1530,1928,550,560,381,768,432,4435,850
"14","01097","Mobile County, Alabama",155946,2876,125137,3370,2283,1003,85228,3858,13506,2005,537,268,3321,1110,27488,2399
"15","01101","Montgomery County, Alabama",88864,2242,74951,2481,117,136,64056,2901,3525,877,306,189,2864,920,11049,1779
"16","01103","Morgan County, Alabama",46470,1676,36139,2134,0,206,25918,2076,4582,1058,0,206,3389,1043,6942,1368
"17","01115","St. Clair County, Alabama",32829,1261,27870,2032,415,396,20838,1974,3386,1315,138,140,1450,777,3509,1393
"18","01117","Shelby County, Alabama",84048,1602,76487,1980,94,156,63739,2325,6875,1177,756,571,1491,632,6070,1250
"19","01121","Talladega County, Alabama",30602,1841,25238,1752,0,206,16750,1803,3789,1131,365,431,222,193,5142,980
"20","01125","Tuscaloosa County, Alabama",74259,2679,64135,2987,48,82,50281,2982,5452,1152,406,298,1517,801,8607,1617
"21","01127","Walker County, Alabama",25153,1223,19493,1516,0,206,12162,1441,2915,872,262,223,375,279,5285,1153
"22","02020","Anchorage Municipality, Alaska",105198,2489,97690,2704,89,109,77482,2798,5289,1687,880,453,1748,879,5760,1294
"23","02090","Fairbanks North Star Borough, Alaska",35556,1761,32254,2062,192,235,22764,1910,1925,888,108,187,285,265,3017,1039
"24","02170","Matanuska-Susitna Borough, Alaska",32736,739,29012,870,78,132,23093,1127,1507,407,287,184,601,241,3123,535
"25","04001","Apache County, Arizona",20925,946,7315,1040,46,56,4934,1050,1004,325,79,75,1012,613,12598,1015
"26","04003","Cochise County, Arizona",51982,1532,42897,1900,33,28,34420,2094,4508,786,743,393,750,429,8335,1724
"27","04005","Coconino County, Arizona",48993,2018,39713,1921,0,218,31115,1922,4379,997,971,482,1366,603,7914,1188
"28","04013","Maricopa County, Arizona",1611722,9030,1438148,10497,2784,689,1203288,10681,127127,6726,16977,2182,39315,3821,134259,6217
"29","04015","Mohave County, Arizona",91095,3289,76612,3574,94,139,58953,3070,9014,1621,1574,669,2383,770,12100,1999
"30","04017","Navajo County, Arizona",38732,1795,25599,1719,323,244,18317,1518,2851,778,390,190,714,383,12419,1149
"31","04019","Pima County, Arizona",410404,5277,363257,5770,1038,452,287087,6126,29062,2289,4800,1281,8102,1250,39045,2935
"32","04021","Pinal County, Arizona",153413,3559,136392,3687,122,129,103681,3676,20161,2419,1754,687,3062,1156,13959,1987
"33","04025","Yavapai County, Arizona",102784,2449,90219,3114,717,418,68212,3691,11841,1835,1373,718,2331,880,10234,2069
"34","04027","Yuma County, Arizona",74042,2409,60840,2791,182,176,45928,3059,8567,1935,1096,745,1812,745,11390,1471
"35","05007","Benton County, Arkansas",100749,1952,89530,2264,172,175,75834,2687,5172,959,807,435,1264,731,9955,1431
